[Imports]
nth vaddr      bind type lib          name
――――――――――――――――――――――――――――――――――――――――――
1   0x0040d020 NONE FUNC KERNEL32.dll WaitForSingleObject
2   0x0040d024 NONE FUNC KERNEL32.dll CreateThread
3   0x0040d028 NONE FUNC KERNEL32.dll CreateFileW
4   0x0040d02c NONE FUNC KERNEL32.dll CloseHandle
5   0x0040d030 NONE FUNC KERNEL32.dll Process32NextW
6   0x0040d034 NONE FUNC KERNEL32.dll OpenProcess
7   0x0040d038 NONE FUNC KERNEL32.dll Process32FirstW
8   0x0040d03c NONE FUNC KERNEL32.dll CreateToolhelp32Snapshot
9   0x0040d040 NONE FUNC KERNEL32.dll TerminateProcess
10  0x0040d044 NONE FUNC KERNEL32.dll WriteFile
11  0x0040d048 NONE FUNC KERNEL32.dll Sleep
12  0x0040d04c NONE FUNC KERNEL32.dll WideCharToMultiByte
13  0x0040d050 NONE FUNC KERNEL32.dll ReadFile
14  0x0040d054 NONE FUNC KERNEL32.dll CreateProcessW
15  0x0040d058 NONE FUNC KERNEL32.dll GetSystemDirectoryW
16  0x0040d05c NONE FUNC KERNEL32.dll GetStartupInfoW
17  0x0040d060 NONE FUNC KERNEL32.dll GetStringTypeW
18  0x0040d064 NONE FUNC KERNEL32.dll GetStringTypeA
19  0x0040d068 NONE FUNC KERNEL32.dll GetComputerNameW
20  0x0040d06c NONE FUNC KERNEL32.dll GetVersionExW
21  0x0040d070 NONE FUNC KERNEL32.dll GetOEMCP
22  0x0040d074 NONE FUNC KERNEL32.dll GetTickCount
23  0x0040d078 NONE FUNC KERNEL32.dll GetCurrentThread
24  0x0040d07c NONE FUNC KERNEL32.dll GetLastError
25  0x0040d080 NONE FUNC KERNEL32.dll GetCurrentProcess
26  0x0040d084 NONE FUNC KERNEL32.dll CreatePipe
27  0x0040d088 NONE FUNC KERNEL32.dll MultiByteToWideChar
28  0x0040d08c NONE FUNC KERNEL32.dll LCMapStringW
29  0x0040d090 NONE FUNC KERNEL32.dll LCMapStringA
30  0x0040d094 NONE FUNC KERNEL32.dll SetStdHandle
31  0x0040d098 NONE FUNC KERNEL32.dll LoadLibraryA
32  0x0040d09c NONE FUNC KERNEL32.dll GetProcAddress
33  0x0040d0a0 NONE FUNC KERNEL32.dll GetACP
34  0x0040d0a4 NONE FUNC KERNEL32.dll GetCPInfo
35  0x0040d0a8 NONE FUNC KERNEL32.dll SetFilePointer
36  0x0040d0ac NONE FUNC KERNEL32.dll FlushFileBuffers
37  0x0040d0b0 NONE FUNC KERNEL32.dll VirtualAlloc
38  0x0040d0b4 NONE FUNC KERNEL32.dll RtlUnwind
39  0x0040d0b8 NONE FUNC KERNEL32.dll VirtualFree
40  0x0040d0bc NONE FUNC KERNEL32.dll HeapCreate
41  0x0040d0c0 NONE FUNC KERNEL32.dll HeapDestroy
42  0x0040d0c4 NONE FUNC KERNEL32.dll GetFileType
43  0x0040d0c8 NONE FUNC KERNEL32.dll GetStdHandle
44  0x0040d0cc NONE FUNC KERNEL32.dll SetHandleCount
45  0x0040d0d0 NONE FUNC KERNEL32.dll GetEnvironmentStringsW
46  0x0040d0d4 NONE FUNC KERNEL32.dll GetEnvironmentStrings
47  0x0040d0d8 NONE FUNC KERNEL32.dll ExitProcess
48  0x0040d0dc NONE FUNC KERNEL32.dll GetModuleHandleA
49  0x0040d0e0 NONE FUNC KERNEL32.dll GetStartupInfoA
