[Imports]
nth vaddr      bind type lib          name
――――――――――――――――――――――――――――――――――――――――――
1   0x00591000 NONE FUNC urlmon.dll   URLDownloadToFileA
23  0x00591008 NONE FUNC WS2_32.dll   socket
1   0x00591010 NONE FUNC USER32.dll   MessageBoxW
1   0x00591018 NONE FUNC ADVAPI32.dll OpenProcessToken
1   0x00591020 NONE FUNC WININET.dll  InternetOpenUrlW
1   0x00591028 NONE FUNC WTSAPI32.dll WTSEnumerateProcessesW
1   0x00591030 NONE FUNC IPHLPAPI.DLL GetNetworkParams
1   0x00591038 NONE FUNC SHELL32.dll  ShellExecuteA
1   0x00591040 NONE FUNC KERNEL32.dll GetVersionExW
2   0x00591044 NONE FUNC KERNEL32.dll GetOEMCP
1   0x0059104c NONE FUNC KERNEL32.dll GetModuleFileNameW
1   0x00591054 NONE FUNC KERNEL32.dll GetModuleHandleA
2   0x00591058 NONE FUNC KERNEL32.dll LoadLibraryA
3   0x0059105c NONE FUNC KERNEL32.dll LocalAlloc
4   0x00591060 NONE FUNC KERNEL32.dll LocalFree
5   0x00591064 NONE FUNC KERNEL32.dll GetModuleFileNameA
6   0x00591068 NONE FUNC KERNEL32.dll ExitProcess


