[Imports]
nth vaddr      bind type lib          name
――――――――――――――――――――――――――――――――――――――――――
1   0x004080f0 NONE FUNC user32.dll   MessageBoxA
2   0x004080f4 NONE FUNC user32.dll   wsprintfA
1   0x004080fc NONE FUNC kernel32.dll ExitProcess
2   0x00408100 NONE FUNC kernel32.dll GetModuleHandleA
3   0x00408104 NONE FUNC kernel32.dll GetProcAddress
4   0x00408108 NONE FUNC kernel32.dll VirtualProtect
5   0x0040810c NONE FUNC kernel32.dll VirtualAlloc
6   0x00408110 NONE FUNC kernel32.dll VirtualFree
7   0x00408114 NONE FUNC kernel32.dll LoadLibraryA
1   0x0040811c NONE FUNC pdh.dll      PdhCloseLog


