[Imports]
nth vaddr      bind type lib          name
――――――――――――――――――――――――――――――――――――――――――
1   0x0040500c NONE FUNC KERNEL32.dll GetModuleHandleW
2   0x00405010 NONE FUNC KERNEL32.dll InterlockedExchange
3   0x00405014 NONE FUNC KERNEL32.dll GetTickCount
4   0x00405018 NONE FUNC KERNEL32.dll GetLastError
5   0x0040501c NONE FUNC KERNEL32.dll GetFileAttributesA
6   0x00405020 NONE FUNC KERNEL32.dll GetCurrentThread
7   0x00405024 NONE FUNC KERNEL32.dll GetModuleHandleA
8   0x00405028 NONE FUNC KERNEL32.dll TerminateProcess
9   0x0040502c NONE FUNC KERNEL32.dll VirtualAlloc
10  0x00405030 NONE FUNC KERNEL32.dll GetProcAddress
11  0x00405034 NONE FUNC KERNEL32.dll OpenEventA
12  0x00405038 NONE FUNC KERNEL32.dll OpenSemaphoreA
13  0x0040503c NONE FUNC KERNEL32.dll FindClose
14  0x00405040 NONE FUNC KERNEL32.dll GetStringTypeA
15  0x00405044 NONE FUNC KERNEL32.dll LCMapStringW
16  0x00405048 NONE FUNC KERNEL32.dll LCMapStringA
17  0x0040504c NONE FUNC KERNEL32.dll MultiByteToWideChar
18  0x00405050 NONE FUNC KERNEL32.dll LoadLibraryA
19  0x00405054 NONE FUNC KERNEL32.dll GetOEMCP
20  0x00405058 NONE FUNC KERNEL32.dll Sleep
21  0x0040505c NONE FUNC KERNEL32.dll OpenEventW
22  0x00405060 NONE FUNC KERNEL32.dll RemoveDirectoryA
23  0x00405064 NONE FUNC KERNEL32.dll GetACP
24  0x00405068 NONE FUNC KERNEL32.dll GetCPInfo
25  0x0040506c NONE FUNC KERNEL32.dll WriteFile
26  0x00405070 NONE FUNC KERNEL32.dll GetStartupInfoA
27  0x00405074 NONE FUNC KERNEL32.dll GetCommandLineA
28  0x00405078 NONE FUNC KERNEL32.dll GetVersion
29  0x0040507c NONE FUNC KERNEL32.dll ExitProcess
30  0x00405080 NONE FUNC KERNEL32.dll HeapReAlloc
31  0x00405084 NONE FUNC KERNEL32.dll HeapAlloc
32  0x00405088 NONE FUNC KERNEL32.dll GetCurrentProcess
33  0x0040508c NONE FUNC KERNEL32.dll HeapSize
34  0x00405090 NONE FUNC KERNEL32.dll UnhandledExceptionFilter
35  0x00405094 NONE FUNC KERNEL32.dll GetModuleFileNameA
36  0x00405098 NONE FUNC KERNEL32.dll FreeEnvironmentStringsA
37  0x0040509c NONE FUNC KERNEL32.dll FreeEnvironmentStringsW
38  0x004050a0 NONE FUNC KERNEL32.dll WideCharToMultiByte
39  0x004050a4 NONE FUNC KERNEL32.dll GetEnvironmentStrings
40  0x004050a8 NONE FUNC KERNEL32.dll GetEnvironmentStringsW
41  0x004050ac NONE FUNC KERNEL32.dll SetHandleCount
42  0x004050b0 NONE FUNC KERNEL32.dll GetStdHandle
43  0x004050b4 NONE FUNC KERNEL32.dll GetFileType
44  0x004050b8 NONE FUNC KERNEL32.dll HeapDestroy
45  0x004050bc NONE FUNC KERNEL32.dll HeapCreate
46  0x004050c0 NONE FUNC KERNEL32.dll VirtualFree
47  0x004050c4 NONE FUNC KERNEL32.dll HeapFree
48  0x004050c8 NONE FUNC KERNEL32.dll RtlUnwind
49  0x004050cc NONE FUNC KERNEL32.dll GetStringTypeW
1   0x004050d4 NONE FUNC USER32.dll   LoadIconA
2   0x004050d8 NONE FUNC USER32.dll   MessageBoxW
3   0x004050dc NONE FUNC USER32.dll   LoadIconW
4   0x004050e0 NONE FUNC USER32.dll   EnableWindow
5   0x004050e4 NONE FUNC USER32.dll   WaitForInputIdle
1   0x00405000 NONE FUNC GDI32.dll    CreateBitmap
2   0x00405004 NONE FUNC GDI32.dll    SelectObject
1   0x004050f4 NONE FUNC WinSCard.dll SCardForgetReaderW
18  0x004050ec NONE FUNC WS2_32.dll   select


