[Strings]
nth   paddr      vaddr      len  size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0     0x0000004d 0x0000004d 44   45           ascii   !That program cannot be run in DOS mode.\r\r\n$
1     0x00000178 0x00000178 5    6            ascii   .text
2     0x0000019f 0x0000019f 7    8            ascii   `.rdata
3     0x000001c7 0x000001c7 6    7            ascii   @.data
4     0x000001f0 0x000001f0 5    6            ascii   .rsrc
5     0x00000417 0x00401017 4    5    .text   ascii   h=\@
6     0x0000041c 0x0040101c 4    5    .text   ascii   h2\@
7     0x0000043f 0x0040103f 4    5    .text   ascii   \r/Q@
8     0x0000045b 0x0040105b 4    5    .text   ascii   %WQ@
9     0x00000475 0x00401075 6    7    .text   ascii   g)=4P@
10    0x000004ba 0x004010ba 6    7    .text   ascii   ^!5@Q@
11    0x000004ce 0x004010ce 4    5    .text   ascii   ->P@
12    0x000004db 0x004010db 5    6    .text   ascii   )=%P@
13    0x00000505 0x00401105 4    5    .text   ascii   -aQ@
14    0x00000518 0x00401118 4    5    .text   ascii   h=\@
15    0x0000051d 0x0040111d 4    5    .text   ascii   h2\@
16    0x00000547 0x00401147 4    5    .text   ascii   5%P@
17    0x00000562 0x00401162 5    6    .text   ascii    ="P@
18    0x00000579 0x00401179 5    6    .text   ascii   \v=;P@
19    0x00000582 0x00401182 4    5    .text   ascii   55P@
20    0x000005d1 0x004011d1 4    5    .text   ascii   -6P@
21    0x00000613 0x00401213 6    7    .text   ascii   \rt;8{1
22    0x0000068a 0x0040128a 4    5    .text   ascii   -\tQ@
23    0x00000691 0x00401291 4    5    .text   ascii   5\fQ@
24    0x000006a4 0x004012a4 5    6    .text   ascii   *5oQ@
25    0x0000074d 0x0040134d 4    5    .text   ascii   %QP@
26    0x00000796 0x00401396 4    5    .text   ascii   \r{P@
27    0x00000803 0x00401403 4    5    .text   ascii   =8U@
28    0x00000820 0x00401420 4    5    .text   ascii   \r|P@
29    0x0000086f 0x0040146f 4    5    .text   ascii   5tP@
30    0x000008ce 0x004014ce 4    5    .text   ascii   %jQ@
31    0x00000909 0x00401509 4    5    .text   ascii   \rxQ@
32    0x0000091d 0x0040151d 4    5    .text   ascii   5OQ@
33    0x00000930 0x00401530 4    5    .text   ascii   5(Q@
34    0x0000095d 0x0040155d 5    6    .text   ascii   \t5(P@
35    0x0000097f 0x0040157f 5    6    .text   ascii   +5.Q@
36    0x000009bf 0x004015bf 4    5    .text   ascii   %\tP@
37    0x00000a00 0x00401600 5    6    .text   ascii   *%XQ@
38    0x00000a0c 0x0040160c 6    7    .text   ascii   3!5RQ@
39    0x00000a3d 0x0040163d 5    7    .text   utf8    ك\rDP@ blocks=Arabic,Basic Latin
40    0x00000a88 0x00401688 4    5    .text   ascii   -$P@
41    0x00000ab9 0x004016b9 4    5    .text   ascii   =bP@
42    0x00000aec 0x004016ec 5    7    .text   utf8    ӂ-,P@ blocks=Cyrillic,Basic Latin
43    0x00000af4 0x004016f4 5    6    .text   ascii   +=BP@
44    0x00000afb 0x004016fb 5    7    .text   utf8    Ɂ\r8Q@ blocks=Latin Extended-B,Basic Latin
45    0x00000b06 0x00401706 5    6    .text   ascii   \v5=Q@
46    0x00000b38 0x00401738 4    5    .text   ascii   \r P@
47    0x00000b6f 0x0040176f 4    5    .text   ascii   5^P@
48    0x00000b76 0x00401776 4    5    .text   ascii   -GP@
49    0x00000bbd 0x004017bd 4    5    .text   ascii   5<P@
50    0x00000c1b 0x0040181b 4    5    .text   ascii   \rZQ@
51    0x00000c9f 0x0040189f 4    5    .text   ascii   -,Q@
52    0x00000cd2 0x004018d2 5    6    .text   ascii   (5`Q@
53    0x00000cfe 0x004018fe 4    5    .text   ascii   5"P@
54    0x00000d46 0x00401946 5    6    .text   ascii   1=sP@
55    0x00000d8b 0x0040198b 4    5    .text   ascii   %\fP@
56    0x00000dad 0x004019ad 4    5    .text   ascii   \rtP@
57    0x00000de3 0x004019e3 5    6    .text   ascii   \n%hQ@
58    0x00000dfe 0x004019fe 6    8    .text   utf8    1߁%VP@ blocks=Basic Latin,NKo
59    0x00000e21 0x00401a21 4    5    .text   ascii   \rlQ@
60    0x00000e46 0x00401a46 4    5    .text   ascii   h=\@
61    0x00000e4b 0x00401a4b 4    5    .text   ascii   h2\@
62    0x00000e62 0x00401a62 4    5    .text   ascii   =KQ@
63    0x00000e8e 0x00401a8e 4    5    .text   ascii   \r@Q@
64    0x00000eb5 0x00401ab5 5    6    .text   ascii   \b\rqP@
65    0x00000f29 0x00401b29 4    5    .text   ascii   %VP@
66    0x00000f35 0x00401b35 4    5    .text   ascii   5{P@
67    0x00000f51 0x00401b51 4    5    .text   ascii   -AP@
68    0x00000f92 0x00401b92 4    5    .text   ascii   -\nP@
69    0x00000fcf 0x00401bcf 4    5    .text   ascii   5nQ@
70    0x00000fd5 0x00401bd5 4    5    .text   ascii   \r"Q@
71    0x00000fea 0x00401bea 4    5    .text   ascii   5CQ@
72    0x00001008 0x00401c08 4    5    .text   ascii   \rrP@
73    0x00001047 0x00401c47 4    5    .text   ascii   5bQ@
74    0x00001050 0x00401c50 4    5    .text   ascii   h+U@
75    0x0000105c 0x00401c5c 4    5    .text   ascii   %PQ@
76    0x0000106f 0x00401c6f 4    5    .text   ascii   =vQ@
77    0x00001084 0x00401c84 4    5    .text   ascii   h\b\@
78    0x0000108f 0x00401c8f 6    7    .text   ascii   H)=}Q@
79    0x000010e6 0x00401ce6 4    5    .text   ascii   %\aQ@
80    0x00001101 0x00401d01 4    5    .text   ascii   5aP@
81    0x00001109 0x00401d09 4    5    .text   ascii   5\rP@
82    0x0000117a 0x00401d7a 6    7    .text   ascii   \t\b\r^P@
83    0x00001182 0x00401d82 6    8    .text   utf8    ǃ\n\r(Q@ blocks=Latin Extended-B,Basic Latin
84    0x000011b7 0x00401db7 4    5    .text   ascii   -kP@
85    0x000011df 0x00401ddf 5    8    .text   utf8    㵃\rFP@ blocks=CJK Unified Ideographs Extension A,Basic Latin
86    0x000011f8 0x00401df8 7    8    .text   ascii   Pj\bhT\@
87    0x00001200 0x00401e00 4    5    .text   ascii   hH\@
88    0x00001248 0x00401e48 6    7    .text   ascii   Y1=9Q@
89    0x0000127c 0x00401e7c 6    7    .text   ascii   W(-|Q@
90    0x000012ab 0x00401eab 5    6    .text   ascii   Rh\rU@
91    0x000012c5 0x00401ec5 4    5    .text   ascii   =\rU@
92    0x000012d2 0x00401ed2 5    6    .text   ascii   +\rjP@
93    0x0000130c 0x00401f0c 4    5    .text   ascii   a99a
94    0x00001314 0x00401f14 5    6    .text   ascii   a==aG
95    0x00001358 0x00401f58 4    5    .text   ascii   ib\vI
96    0x00001368 0x00401f68 4    5    .text   ascii   ,e\tN
97    0x00001370 0x00401f70 4    5    .text   ascii   CllC
98    0x00001378 0x00401f78 4    5    .text   ascii   B  B
99    0x00001380 0x00401f80 4    5    .text   ascii   B  B
100   0x0000156d 0x0040216d 5    7    .text   utf8    ܩKW31 blocks=Syriac,Basic Latin
101   0x000015b7 0x004021b7 5    6    .text   ascii   Sa88a
102   0x000015d3 0x004021d3 6    8    .text   utf8    HGlƇ{2 blocks=Basic Latin,Latin Extended-B
