[Imports]
nth vaddr      bind type lib          name
――――――――――――――――――――――――――――――――――――――――――
24  0x00415178 NONE FUNC ODBC32.dll   SQLAllocHandle
75  0x0041517c NONE FUNC ODBC32.dll   SQLSetEnvAttr
41  0x00415180 NONE FUNC ODBC32.dll   SQLDriverConnect
3   0x00415184 NONE FUNC ODBC32.dll   SQLAllocStmt
31  0x00415188 NONE FUNC ODBC32.dll   SQLFreeHandle
6   0x004151b4 NONE FUNC WS2_32.dll   getsockname
17  0x004151b8 NONE FUNC WS2_32.dll   recvfrom
20  0x004151bc NONE FUNC WS2_32.dll   sendto
1   0x004151c0 NONE FUNC WS2_32.dll   accept
52  0x004151c4 NONE FUNC WS2_32.dll   gethostbyname
5   0x004151c8 NONE FUNC WS2_32.dll   getpeername
21  0x004151cc NONE FUNC WS2_32.dll   setsockopt
111 0x004151d0 NONE FUNC WS2_32.dll   WSAGetLastError
13  0x004151d4 NONE FUNC WS2_32.dll   listen
10  0x004151d8 NONE FUNC WS2_32.dll   ioctlsocket
11  0x004151dc NONE FUNC WS2_32.dll   inet_addr
51  0x004151e0 NONE FUNC WS2_32.dll   gethostbyaddr
19  0x004151e4 NONE FUNC WS2_32.dll   send
9   0x004151e8 NONE FUNC WS2_32.dll   htons
23  0x004151ec NONE FUNC WS2_32.dll   socket
4   0x004151f0 NONE FUNC WS2_32.dll   connect
18  0x004151f4 NONE FUNC WS2_32.dll   select
151 0x004151f8 NONE FUNC WS2_32.dll   __WSAFDIsSet
16  0x004151fc NONE FUNC WS2_32.dll   recv
8   0x00415200 NONE FUNC WS2_32.dll   htonl
12  0x00415204 NONE FUNC WS2_32.dll   inet_ntoa
3   0x00415208 NONE FUNC WS2_32.dll   closesocket
115 0x0041520c NONE FUNC WS2_32.dll   WSAStartup
116 0x00415210 NONE FUNC WS2_32.dll   WSACleanup
2   0x00415214 NONE FUNC WS2_32.dll   bind
1   0x004151a0 NONE FUNC WININET.dll  InternetOpenUrlA
2   0x004151a4 NONE FUNC WININET.dll  InternetCloseHandle
3   0x004151a8 NONE FUNC WININET.dll  InternetReadFile
4   0x004151ac NONE FUNC WININET.dll  InternetOpenA
1   0x00415154 NONE FUNC MPR.dll      WNetCloseEnum
2   0x00415158 NONE FUNC MPR.dll      WNetOpenEnumA
3   0x0041515c NONE FUNC MPR.dll      WNetAddConnection2A
4   0x00415160 NONE FUNC MPR.dll      WNetEnumResourceA
5   0x00415164 NONE FUNC MPR.dll      WNetCancelConnection2A
1   0x0041516c NONE FUNC NETAPI32.dll NetUserEnum
2   0x00415170 NONE FUNC NETAPI32.dll NetApiBufferFree
1   0x00415000 NONE FUNC DNSAPI.dll   DnsFree
2   0x00415004 NONE FUNC DNSAPI.dll   DnsQuery_A
1   0x0041500c NONE FUNC KERNEL32.dll VirtualAlloc
2   0x00415010 NONE FUNC KERNEL32.dll VirtualFree
3   0x00415014 NONE FUNC KERNEL32.dll RtlUnwind
4   0x00415018 NONE FUNC KERNEL32.dll GetProcessHeap
5   0x0041501c NONE FUNC KERNEL32.dll SetEndOfFile
6   0x00415020 NONE FUNC KERNEL32.dll GetStringTypeW
