[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x00000000 0x00000000 7   8            ascii   MZ91215
1    0x0000004d 0x0000004d 44  45           ascii   !This program cannot be run in DOS mode.\r\r\n$
2    0x000000c8 0x000000c8 5   6            ascii   Rich}
3    0x000001d8 0x000001d8 5   6            ascii   .text
4    0x000001ff 0x000001ff 7   8            ascii   `.rdata
5    0x00000227 0x00000227 6   7            ascii   @.data
6    0x00000250 0x00000250 5   6            ascii   .rsrc
7    0x000004c3 0x004010c3 4   5    .text   ascii   hxTA
8    0x000004dc 0x004010dc 4   5    .text   ascii   hpTA
9    0x000004f5 0x004010f5 4   5    .text   ascii   hdTA
10   0x0000050e 0x0040110e 4   5    .text   ascii   hXTA
11   0x00000527 0x00401127 4   5    .text   ascii   hPTA
12   0x00000540 0x00401140 4   5    .text   ascii   hLTA
13   0x00000559 0x00401159 4   5    .text   ascii   hDTA
14   0x00000572 0x00401172 4   5    .text   ascii   h@TA
15   0x0000058b 0x0040118b 4   5    .text   ascii   h<TA
16   0x000005a4 0x004011a4 4   5    .text   ascii   h4TA
17   0x000005bd 0x004011bd 4   5    .text   ascii   h,TA
18   0x000005d6 0x004011d6 4   5    .text   ascii   h(TA
19   0x000005ef 0x004011ef 4   5    .text   ascii   h TA
20   0x0000063a 0x0040123a 4   5    .text   ascii   h\fTA
21   0x00000748 0x00401348 6   7    .text   ascii   V\bh|SA
22   0x0000074f 0x0040134f 4   5    .text   ascii   hHSA
23   0x00000754 0x00401354 5   6    .text   ascii   Rh\bSA
24   0x000007ab 0x004013ab 4   6    .text   utf8    u\vǄ$ blocks=Basic Latin,Latin Extended-B
25   0x000007b9 0x004013b9 4   5    .text   ascii   T$\bR
26   0x000008ee 0x004014ee 4   5    .text   ascii   htUA
27   0x000008f8 0x004014f8 4   5    .text   ascii   hLUA
28   0x00000902 0x00401502 4   5    .text   ascii   h$UA
29   0x0000094d 0x0040154d 4   5    .text   ascii   u\bWh
30   0x00000967 0x00401567 4   9    .text   utf16le jjjj
31   0x00000975 0x00401575 4   5    .text   ascii   |$8h
32   0x00000983 0x00401583 5   11   .text   utf16le Ajjjj
33   0x0000098e 0x0040158e 5   6    .text   ascii   L$8QP
34   0x00000a0b 0x0040160b 4   5    .text   ascii   T$,R
35   0x00000a1a 0x0040161a 4   5    .text   ascii   htVA
36   0x00000a81 0x00401681 5   6    .text   ascii   T$(RP
37   0x00000a99 0x00401699 5   6    .text   ascii   PhPVA
38   0x00000ac6 0x004016c6 4   5    .text   ascii   +T$ 
39   0x00000b0b 0x0040170b 4   5    .text   ascii   D$(R
40   0x00000b5f 0x0040175f 5   6    .text   ascii   Rh\fVA
41   0x00000ba3 0x004017a3 4   5    .text   ascii   _^[3
42   0x00000beb 0x004017eb 5   7    .text   utf8    YË\f$j blocks=Basic Latin,Latin-1 Supplement
43   0x00000c33 0x00401833 6   7    .text   ascii   t"h(WA
44   0x00000c5b 0x0040185b 4   5    .text   ascii   \f$Qh
45   0x00000c78 0x00401878 5   6    .text   ascii   Ph\fWA
46   0x00000cbe 0x004018be 4   5    .text   ascii   PQRh
47   0x00000d28 0x00401928 5   6    .text   ascii   t$\b}+
48   0x00000d38 0x00401938 8   9    .text   ascii   VPj#h ZA
49   0x00000ed6 0x00401ad6 4   5    .text   ascii   D$D+
50   0x00000ede 0x00401ade 4   5    .text   ascii   D$H5
51   0x00000ee6 0x00401ae6 4   5    .text   ascii   D$LO
52   0x00000eee 0x00401aee 4   5    .text   ascii   D$PP
53   0x00000ef6 0x00401af6 4   5    .text   ascii   D$Tn
54   0x00000efe 0x00401afe 4   5    .text   ascii   D$Xo
55   0x00000f06 0x00401b06 4   5    .text   ascii   D$\q
56   0x00000f0e 0x00401b0e 4   5    .text   ascii   D$`w
57   0x000010b0 0x00401cb0 5   6    .text   ascii   ECEC;
58   0x00001152 0x00401d52 4   5    .text   ascii   Q\bRh
59   0x0000122a 0x00401e2a 4   5    .text   ascii   D$ ;
60   0x0000124f 0x00401e4f 5   6    .text   ascii   L$$Qh
61   0x000012aa 0x00401eaa 4   5    .text   ascii   ][_^
62   0x00001394 0x00401f94 4   5    .text   ascii   t9jd
63   0x000013d4 0x00401fd4 4   5    .text   ascii   ][_^
64   0x000013e5 0x00401fe5 5   6    .text   ascii   PhhWA
65   0x000013f8 0x00401ff8 4   5    .text   ascii   hTWA
66   0x00001443 0x00402043 7   8    .text   ascii   \v\v\v\v\v\v\v
67   0x0000144e 0x0040204e 8   9    .text   ascii   \a\v\v\b\t\v\v\n
68   0x0000152b 0x0040212b 5   6    .text   ascii   @hx[A
69   0x00001536 0x00402136 5   6    .text   ascii   Uh8[A
70   0x0000154d 0x0040214d 4   5    .text   ascii   UjPh
71   0x000015cd 0x004021cd 4   5    .text   ascii   hlZA
72   0x000015d2 0x004021d2 4   5    .text   ascii   hdZA
73   0x00001606 0x00402206 6   7    .text   ascii   F\bhXZA
74   0x0000161b 0x0040221b 6   7    .text   ascii   N\bhTZA
75   0x00001635 0x00402235 5   6    .text   ascii   V\fj(R
76   0x00001665 0x00402265 6   7    .text   ascii   V\bhLZA
77   0x0000167a 0x0040227a 6   7    .text   ascii   F\bhHZA
78   0x000016df 0x004022df 5   6    .text   ascii   Ph(ZA
79   0x0000173f 0x0040233f 5   6    .text   ascii   _^][3
80   0x000017a4 0x004023a4 5   6    .text   ascii   Ph8\A
81   0x000017c8 0x004023c8 4   6    .text   utf8    ËN\bQ blocks=Latin-1 Supplement,Basic Latin
82   0x0000195f 0x0040255f 5   6    .text   ascii   T$$WR
83   0x00001969 0x00402569 4   5    .text   ascii   h0\A
84   0x00001983 0x00402583 4   5    .text   ascii   D$$h
85   0x000019a1 0x004025a1 6   7    .text   ascii   L$ j\rQ
86   0x000019b7 0x004025b7 6   7    .text   ascii   T$ j\nR
87   0x000019e6 0x004025e6 4   5    .text   ascii   D$$j
88   0x000019f3 0x004025f3 4   5    .text   ascii   L$0h
89   0x00001a52 0x00402652 4   5    .text   ascii   _]^[
90   0x00001a75 0x00402675 4   6    .text   utf8    wۋD$ blocks=Basic Latin,Arabic
91   0x00001a9b 0x0040269b 4   5    .text   ascii   h\b\A
92   0x00001b5a 0x0040275a 4   5    .text   ascii   Q\bRh
93   0x00001bf1 0x004027f1 8   9    .text   ascii   D$ Ph@]@
94   0x00001c82 0x00402882 6   7    .text   ascii   t5K9\$
95   0x00001c89 0x00402889 4   5    .text   ascii   tUjd
96   0x00001cf0 0x004028f0 5   6    .text   ascii   PhhWA
97   0x00001d03 0x00402903 4   5    .text   ascii   hTWA
98   0x00001d26 0x00402926 4   6    .text   utf8    ÐF%@ blocks=Latin-1 Supplement,Basic Latin
99   0x00001d59 0x00402959 28  29   .text   ascii   \v\v\v\v\v\v\v\v\v\v\v\v\v\v\v\v\v\v\v\v\v\v\v\v\v\v\v\v
100  0x00001d81 0x00402981 8   9    .text   ascii   \v\a\v\b\v\v\t\n
101  0x00001d98 0x00402998 6   7    .text   ascii    SUVWh
102  0x00001e1e 0x00402a1e 6   7    .text   ascii   NDRQPh
103  0x00001e3b 0x00402a3b 4   5    .text   ascii   L$ Q
104  0x00001e56 0x00402a56 4   5    .text   ascii   T$*P
105  0x00001e5c 0x00402a5c 10  11   .text   ascii   D$,QRPhl^A
106  0x00001e7a 0x00402a7a 4   5    .text   ascii   D$ P
107  0x00001e95 0x00402a95 4   5    .text   ascii   L$*R
108  0x00001e9b 0x00402a9b 10  11   .text   ascii   T$,PQRhl^A
109  0x00001ec7 0x00402ac7 5   7    .text   utf8    ӍL$ Q blocks=Cyrillic,Basic Latin
110  0x00001ee0 0x00402ae0 4   5    .text   ascii   T$*P
111  0x00001ee6 0x00402ae6 10  11   .text   ascii   D$,QRPhT^A
112  0x00001f0d 0x00402b0d 4   5    .text   ascii   _^][
113  0x00001f45 0x00402b45 5   6    .text   ascii   Vh(_A
114  0x00001f8b 0x00402b8b 6   7    .text   ascii   PQhx_A
115  0x00001fa8 0x00402ba8 7   8    .text   ascii   RPQhD_A
116  0x0000206d 0x00402c6d 4   5    .text   ascii   h\b`A
117  0x000020e1 0x00402ce1 5   6    .text   ascii   L$\fQV
118  0x000022f5 0x00402ef5 5   6    .text   ascii   Qh(`A
119  0x00002363 0x00402f63 6   7    .text   ascii   rLh `A
120  0x00002408 0x00403008 7   8    .text   ascii   RPQhl`A
121  0x00002426 0x00403026 7   8    .text   ascii   RPQh<`A
122  0x000024d1 0x004030d1 4   5    .text   ascii   D$4P
123  0x000024fc 0x004030fc 5   6    .text   ascii   T$\fRh
124  0x00002517 0x00403117 5   6    .text   ascii   L$\fQh
125  0x00002578 0x00403178 5   7    .text   utf8    3ĉD$$ blocks=Basic Latin,Latin Extended-A
126  0x0000257f 0x0040317f 5   6    .text   ascii   D$,VP
127  0x000025cc 0x004031cc 4   5    .text   ascii   T$\fR
128  0x000025e6 0x004031e6 5   6    .text   ascii   L$\fQh
129  0x00002604 0x00403204 5   6    .text   ascii   L$\fQh
130  0x00002623 0x00403223 5   6    .text   ascii   L$(^3
131  0x00002670 0x00403270 4   5    .text   ascii   h\b`A
132  0x00002683 0x00403283 7   8    .text   ascii   D$\bPh~f
133  0x000026e5 0x004032e5 5   6    .text   ascii   T$\fRj
134  0x000027b2 0x004033b2 5   6    .text   ascii   D$`P2
135  0x000027d4 0x004033d4 4   5    .text   ascii   T$@j
136  0x000027e0 0x004033e0 7   8    .text   ascii   D$HPUWV
137  0x000027ee 0x004033ee 4   5    .text   ascii   h\aA
138  0x0000285a 0x0040345a 4   5    .text   ascii   L$ Q
139  0x00002873 0x00403473 5   6    .text   ascii   D$lPj
140  0x0000289f 0x0040349f 6   7    .text   ascii   u\ahTaA
141  0x000028a8 0x004034a8 7   8    .text   ascii   UWVh0aA
142  0x000028d0 0x004034d0 6   7    .text   ascii   u\ahTaA
143  0x000028d9 0x004034d9 7   8    .text   ascii   UWVh0aA
144  0x00002925 0x00403525 4   5    .text   ascii   t\bPj
145  0x00002935 0x00403535 4   5    .text   ascii   t\bPj
146  0x00002945 0x00403545 4   5    .text   ascii   t\bPj
147  0x000029a1 0x004035a1 4   5    .text   ascii   L$0j
148  0x000029e0 0x004035e0 4   5    .text   ascii   |$0+
149  0x00002a20 0x00403620 5   6    .text   ascii   D$\fUP
150  0x00002a2a 0x0040362a 4   5    .text   ascii   T$8Q
151  0x00002a9d 0x0040369d 4   5    .text   ascii   VUW2
152  0x00002ac3 0x004036c3 4   5    .text   ascii   VUWh
153  0x00002adc 0x004036dc 4   5    .text   ascii   VUWh
154  0x00002b13 0x00403713 4   5    .text   ascii   T$$h
