[Strings]
nth  paddr      vaddr      len  size section type    string
―――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x0000004d 0x0000004d 44   45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1    0x000000a8 0x000000a8 6    8            utf8    WG$ӣG% blocks=Basic Latin,Cyrillic
2    0x000000d0 0x000000d0 7    8            ascii   RichWG%
3    0x000001e0 0x000001e0 5    6            ascii   .text
4    0x00000207 0x00000207 7    8            ascii   `.rdata
5    0x0000022f 0x0000022f 6    7            ascii   @.data
6    0x00000258 0x00000258 5    6            ascii   .rsrc
7    0x00000478 0x00401078 4    5    .text   ascii   9RuA
8    0x0000047d 0x0040107d 6    7    .text   ascii   |$\b\ar:
9    0x00000513 0x00401113 5    6    .text   ascii   ;N\bv_
10   0x00000519 0x00401119 5    6    .text   ascii   F\fSUW
11   0x00000574 0x00401174 4    5    .text   ascii   ^\b[^
12   0x000005a4 0x004011a4 5    7    .text   utf8    R\fËD$ blocks=Basic Latin,Latin-1 Supplement
13   0x000005b4 0x004011b4 5    6    .text   ascii   ;N\bv`
14   0x000005ba 0x004011ba 5    6    .text   ascii   F\fSUW
15   0x00000612 0x00401212 4    5    .text   ascii   ~\b_]
16   0x000006f3 0x004012f3 7    8    .text   ascii   ;A\bv\v+A
17   0x00000865 0x00401465 4    5    .text   ascii   \at\a2
18   0x0000086f 0x0040146f 4    5    .text   ascii   Sj\a3
19   0x000008e8 0x004014e8 4    5    .text   ascii   8RuG
20   0x00000930 0x00401530 5    6    .text   ascii   Xt\aB;
21   0x000009d5 0x004015d5 5    7    .text   utf8    usǆhe blocks=Basic Latin,Latin Extended-B
22   0x000009e2 0x004015e2 4    6    .text   utf8    ,ǆhe blocks=Basic Latin,Latin Extended-B
23   0x00000bd8 0x004017d8 4    5    .text   ascii   E\b9X
24   0x00000d0b 0x0040190b 4    6    .text   utf8    SPǆP blocks=Basic Latin,Latin Extended-B
25   0x00000e9f 0x00401a9f 4    5    .text   ascii   t$\bW
26   0x00000f08 0x00401b08 4    5    .text   ascii   j_Yf
27   0x00000f14 0x00401b14 4    5    .text   ascii   j_Yf
28   0x00000f32 0x00401b32 4    5    .text   ascii   j\Yf
29   0x00000f37 0x00401b37 4    5    .text   ascii   \b@@f
30   0x00000f84 0x00401b84 4    6    .text   utf8    [ÍD$ blocks=Basic Latin,Latin-1 Supplement
31   0x00001039 0x00401c39 4    6    .text   utf8    ^ËD$ blocks=Basic Latin,Latin-1 Supplement
32   0x0000103f 0x00401c3f 7    8    .text   ascii   ;A\bv\v+A
33   0x00001175 0x00401d75 5    6    .text   ascii   'WWWW
34   0x00001218 0x00401e18 5    6    .text   ascii   _t+Nt
35   0x00001223 0x00401e23 6    8    .text   utf8    Nu*ǃPe blocks=Basic Latin,Latin Extended-B
36   0x00001245 0x00401e45 4    6    .text   utf8    \nǃPe blocks=Basic Latin,Latin Extended-B
37   0x000014c1 0x004020c1 4    5    .text   ascii   \rt.+
38   0x00001689 0x00402289 5    7    .text   utf8    F 3ɉE blocks=Basic Latin,Latin Extended-B
39   0x000016e0 0x004022e0 4    5    .text   ascii   ~\f+}
40   0x000017ea 0x004023ea 4    6    .text   utf8    u\aƃV blocks=Basic Latin,Latin Extended-B
41   0x00001a98 0x00402698 5    6    .text   ascii   Wj\a^+
42   0x00001b45 0x00402745 4    5    .text   ascii   _^[d
43   0x00001b6c 0x0040276c 5    6    .text   ascii   +Ex;G
44   0x00001b94 0x00402794 4    6    .text   utf8    \vʉUd blocks=Basic Latin,IPA Extensions
45   0x00001bde 0x004027de 4    5    .text   ascii   U\up
46   0x00001ca0 0x004028a0 4    5    .text   ascii   Ht=H
47   0x00001d29 0x00402929 4    5    .text   ascii   9Etr
48   0x00001d58 0x00402958 4    5    .text   ascii   9Etr
49   0x00001ff8 0x00402bf8 4    5    .text   ascii   t}j\b
50   0x00002165 0x00402d65 6    7    .text   ascii   9]\fua9
51   0x000022a5 0x00402ea5 5    6    .text   ascii   u\nQPW
52   0x00002341 0x00402f41 4    5    .text   ascii   _^[d
53   0x000023d9 0x00402fd9 4    5    .text   ascii   E PW
54   0x00002411 0x00403011 4    5    .text   ascii   t<j\b
55   0x00002450 0x00403050 4    5    .text   ascii   uDj\a
56   0x00002466 0x00403066 5    7    .text   utf8    M(ƃ\e blocks=Basic Latin,Latin Extended-B
57   0x000024c4 0x004030c4 5    6    .text   ascii   9}<s\f
58   0x000026ad 0x004032ad 4    5    .text   ascii   t_j\b
59   0x000028c8 0x004034c8 4    5    .text   ascii   EL@t
60   0x0000298c 0x0040358c 4    6    .text   utf8    u\aƃV blocks=Basic Latin,Latin Extended-B
61   0x00002a87 0x00403687 4    5    .text   ascii   u<t\t
62   0x00002aad 0x004036ad 4    6    .text   utf8    Y3\vM
63   0x00002ab3 0x004036b3 4    5    .text   ascii   _^[d
64   0x00002ae8 0x004036e8 4    5    .text   ascii   t\fHu
65   0x00002b31 0x00403731 4    5    .text   ascii   SUVW
66   0x00002b7f 0x0040377f 4    5    .text   ascii   _^][
67   0x00002c90 0x00403890 4    6    .text   utf8    nډ\$ blocks=Basic Latin,Arabic
68   0x00002cea 0x004038ea 4    5    .text   ascii   d$Pf
69   0x00002d1c 0x0040391c 4    5    .text   ascii   \$$f
70   0x00002d9b 0x0040399b 4    5    .text   ascii   \$0f
71   0x00002da3 0x004039a3 4    5    .text   ascii   \$,f
72   0x00002dab 0x004039ab 4    5    .text   ascii   \$8f
73   0x00002dd8 0x004039d8 5    6    .text   ascii   nl$ f
74   0x00002e1b 0x00403a1b 4    6    .text   utf8    ʉD$( blocks=IPA Extensions,Basic Latin
75   0x00002e21 0x00403a21 4    5    .text   ascii   D$<f
76   0x00002e2d 0x00403a2d 4    5    .text   ascii   \$(f
77   0x00002e35 0x00403a35 4    5    .text   ascii   \$ f
78   0x00002e4e 0x00403a4e 5    6    .text   ascii   n|$0f
79   0x00002e89 0x00403a89 6    8    .text   utf8    nۋ\$(f blocks=Basic Latin,Arabic
80   0x00002ef1 0x00403af1 4    5    .text   ascii   n|$8
