[Strings]
nth   paddr      vaddr      len size section type    string
―――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0     0x0000004d 0x0000004d 44  45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1     0x000000a7 0x000000a7 5   6            ascii   ~2#n~
2     0x000000af 0x000000af 5   6            ascii   ~2#i~
3     0x000000b7 0x000000b7 7   8            ascii   ~2#{~-q
4     0x000000bf 0x000000bf 7   8            ascii   ~Rich,q
5     0x000001d8 0x000001d8 5   6            ascii   .text
6     0x000001ff 0x000001ff 7   8            ascii   `.rdata
7     0x00000227 0x00000227 6   7            ascii   @.data
8     0x00000250 0x00000250 5   6            ascii   .rsrc
9     0x0000046e 0x0040106e 4   5    .text   ascii   y\aH\r
10    0x00000484 0x00401084 4   5    .text   ascii   y\aH\r
11    0x0000049b 0x0040109b 4   5    .text   ascii   y\aH\r
12    0x000004b2 0x004010b2 4   5    .text   ascii   y\aH\r
13    0x000004e2 0x004010e2 4   5    .text   ascii   SUVW
14    0x000004f1 0x004010f1 5   6    .text   ascii   D$ \v3
15    0x00000578 0x00401178 6   9    .text   utf8    D$ 냋D$ blocks=Basic Latin,Hangul Syllables
16    0x0000059e 0x0040119e 4   5    .text   ascii   _^][
17    0x000005b2 0x004011b2 4   5    .text   ascii   \bSUV
18    0x000005e1 0x004011e1 4   5    .text   ascii   t>%F
19    0x00000616 0x00401216 4   6    .text   utf8    ű\$ blocks=Basic Latin,Combining Diacritical Marks
20    0x00000652 0x00401252 4   6    .text   utf8    |ыt$ blocks=Basic Latin,Cyrillic
21    0x00000669 0x00401269 4   5    .text   ascii   _^][
22    0x000006f2 0x004012f2 4   5    .text   ascii   _^][
23    0x00000705 0x00401305 4   6    .text   utf8    ̈D$+ blocks=Combining Diacritical Marks,Basic Latin
24    0x00000719 0x00401319 5   6    .text   ascii   D$3UV
25    0x00000725 0x00401325 4   6    .text   utf8    +ƉD$ blocks=Basic Latin,Latin Extended-B
26    0x00000730 0x00401330 4   6    .text   utf8    +ƉD$ blocks=Basic Latin,Latin Extended-B
27    0x0000073b 0x0040133b 4   6    .text   utf8    +ƉD$ blocks=Basic Latin,Latin Extended-B
28    0x00000748 0x00401348 5   7    .text   utf8    +ƈ\$2 blocks=Basic Latin,Latin Extended-B
29    0x00000753 0x00401353 4   5    .text   ascii   D$(W
30    0x0000077d 0x0040137d 4   5    .text   ascii   D$4x
31    0x00000782 0x00401382 4   5    .text   ascii   D$5a
32    0x0000078b 0x0040138b 4   5    .text   ascii   D$>f
33    0x00000790 0x00401390 4   5    .text   ascii   D$A3
34    0x00000795 0x00401395 4   5    .text   ascii   D$CE
35    0x0000079a 0x0040139a 4   5    .text   ascii   D$Dt
36    0x000007a8 0x004013a8 4   5    .text   ascii   D$9b
37    0x0000080d 0x0040140d 4   5    .text   ascii   y\aH\r
38    0x0000085b 0x0040145b 4   5    .text   ascii   y\aH\r
39    0x00000972 0x00401572 4   5    .text   ascii   D$\fV
40    0x00000baf 0x004017af 4   5    .text   ascii   D$\bP
41    0x00000be7 0x004017e7 4   5    .text   ascii   u\nhW
42    0x00000bf9 0x004017f9 4   5    .text   ascii   }\nhW
43    0x00000c0c 0x0040180c 4   5    .text   ascii   u\nhW
44    0x00000c1c 0x0040181c 5   6    .text   ascii   t:;L$
45    0x00000c70 0x00401870 5   6    .text   ascii   SVWj\f
46    0x00000d16 0x00401916 4   5    .text   ascii   PGWS
47    0x00000d28 0x00401928 5   6    .text   ascii   WPWUj
