[Imports]
nth vaddr      bind type lib          name
――――――――――――――――――――――――――――――――――――――――――
1   0x004b3000 NONE FUNC ntdll.dll    RtlCompressBuffer
2   0x004b3004 NONE FUNC ntdll.dll    RtlConvertUlongToLargeInteger
3   0x004b3008 NONE FUNC ntdll.dll    RtlSetCurrentDirectory_U
4   0x004b300c NONE FUNC ntdll.dll    ZwClearEvent
1   0x004b3014 NONE FUNC user32.dll   GetWindowTextW
2   0x004b3018 NONE FUNC user32.dll   GetCaretBlinkTime
1   0x004b3020 NONE FUNC ole32.dll    OleCreateEmbeddingHelper
1   0x004b3028 NONE FUNC kernel32.dll GetThreadLocale


