[Imports]
nth vaddr      bind type lib          name
――――――――――――――――――――――――――――――――――――――――――
1   0x004150dc NONE FUNC kernel32.dll DeleteCriticalSection
2   0x004150e0 NONE FUNC kernel32.dll LeaveCriticalSection
3   0x004150e4 NONE FUNC kernel32.dll EnterCriticalSection
4   0x004150e8 NONE FUNC kernel32.dll InitializeCriticalSection
5   0x004150ec NONE FUNC kernel32.dll VirtualFree
6   0x004150f0 NONE FUNC kernel32.dll VirtualAlloc
7   0x004150f4 NONE FUNC kernel32.dll LocalFree
8   0x004150f8 NONE FUNC kernel32.dll LocalAlloc
9   0x004150fc NONE FUNC kernel32.dll GetVersion
10  0x00415100 NONE FUNC kernel32.dll GetCurrentThreadId
11  0x00415104 NONE FUNC kernel32.dll GetThreadLocale
12  0x00415108 NONE FUNC kernel32.dll GetStartupInfoA
13  0x0041510c NONE FUNC kernel32.dll GetLocaleInfoA
14  0x00415110 NONE FUNC kernel32.dll GetCommandLineA
15  0x00415114 NONE FUNC kernel32.dll FreeLibrary
16  0x00415118 NONE FUNC kernel32.dll ExitProcess
17  0x0041511c NONE FUNC kernel32.dll WriteFile
18  0x00415120 NONE FUNC kernel32.dll UnhandledExceptionFilter
19  0x00415124 NONE FUNC kernel32.dll RtlUnwind
20  0x00415128 NONE FUNC kernel32.dll RaiseException
21  0x0041512c NONE FUNC kernel32.dll GetStdHandle
1   0x00415134 NONE FUNC user32.dll   GetKeyboardType
2   0x00415138 NONE FUNC user32.dll   MessageBoxA
1   0x00415140 NONE FUNC advapi32.dll RegQueryValueExA
2   0x00415144 NONE FUNC advapi32.dll RegOpenKeyExA
3   0x00415148 NONE FUNC advapi32.dll RegCloseKey
1   0x00415150 NONE FUNC oleaut32.dll SysFreeString
2   0x00415154 NONE FUNC oleaut32.dll SysReAllocStringLen
1   0x0041515c NONE FUNC kernel32.dll TlsSetValue
2   0x00415160 NONE FUNC kernel32.dll TlsGetValue
3   0x004150f8 NONE FUNC kernel32.dll LocalAlloc
4   0x00415168 NONE FUNC kernel32.dll GetModuleHandleA
1   0x00415170 NONE FUNC advapi32.dll RegSetValueExA
2   0x00415144 NONE FUNC advapi32.dll RegOpenKeyExA
3   0x00415148 NONE FUNC advapi32.dll RegCloseKey
1   0x0041511c NONE FUNC kernel32.dll WriteFile
2   0x00415184 NONE FUNC kernel32.dll WinExec
3   0x00415188 NONE FUNC kernel32.dll SetFilePointer
4   0x0041518c NONE FUNC kernel32.dll SetFileAttributesA
5   0x00415190 NONE FUNC kernel32.dll SetEndOfFile
6   0x00415194 NONE FUNC kernel32.dll SetCurrentDirectoryA
7   0x00415198 NONE FUNC kernel32.dll ReleaseMutex
8   0x0041519c NONE FUNC kernel32.dll ReadFile
9   0x004151a0 NONE FUNC kernel32.dll GetWindowsDirectoryA
10  0x004151a4 NONE FUNC kernel32.dll GetTempPathA
11  0x004151a8 NONE FUNC kernel32.dll GetShortPathNameA
12  0x004151ac NONE FUNC kernel32.dll GetModuleFileNameA
13  0x004151b0 NONE FUNC kernel32.dll GetLogicalDriveStringsA
14  0x004151b4 NONE FUNC kernel32.dll GetLocalTime
15  0x004151b8 NONE FUNC kernel32.dll GetLastError
16  0x004151bc NONE FUNC kernel32.dll GetFileSize
17  0x004151c0 NONE FUNC kernel32.dll GetFileAttributesA
18  0x004151c4 NONE FUNC kernel32.dll GetDriveTypeA
19  0x00415110 NONE FUNC kernel32.dll GetCommandLineA
20  0x00415114 NONE FUNC kernel32.dll FreeLibrary
21  0x004151d0 NONE FUNC kernel32.dll FindNextFileA
22  0x004151d4 NONE FUNC kernel32.dll FindFirstFileA
23  0x004151d8 NONE FUNC kernel32.dll FindClose
24  0x004151dc NONE FUNC kernel32.dll DeleteFileA
25  0x004151e0 NONE FUNC kernel32.dll CreateMutexA
26  0x004151e4 NONE FUNC kernel32.dll CreateFileA
27  0x004151e8 NONE FUNC kernel32.dll CreateDirectoryA
28  0x004151ec NONE FUNC kernel32.dll CloseHandle
1   0x004151f4 NONE FUNC gdi32.dll    StretchDIBits
2   0x004151f8 NONE FUNC gdi32.dll    SetDIBits
3   0x004151fc NONE FUNC gdi32.dll    SelectObject
4   0x00415200 NONE FUNC gdi32.dll    GetObjectA
5   0x00415204 NONE FUNC gdi32.dll    GetDIBits
6   0x00415208 NONE FUNC gdi32.dll    DeleteObject
7   0x0041520c NONE FUNC gdi32.dll    DeleteDC
8   0x00415210 NONE FUNC gdi32.dll    CreateSolidBrush
9   0x00415214 NONE FUNC gdi32.dll    CreateDIBSection
10  0x00415218 NONE FUNC gdi32.dll    CreateCompatibleDC
11  0x0041521c NONE FUNC gdi32.dll    CreateCompatibleBitmap
12  0x00415220 NONE FUNC gdi32.dll    BitBlt
1   0x00415228 NONE FUNC user32.dll   ReleaseDC
2   0x0041522c NONE FUNC user32.dll   GetSysColor
3   0x00415230 NONE FUNC user32.dll   GetIconInfo
4   0x00415234 NONE FUNC user32.dll   GetDC
5   0x00415238 NONE FUNC user32.dll   FillRect
6   0x0041523c NONE FUNC user32.dll   DestroyIcon
7   0x00415240 NONE FUNC user32.dll   CopyImage
8   0x00415244 NONE FUNC user32.dll   CharLowerBuffA
1   0x0041524c NONE FUNC shell32.dll  ShellExecuteA
2   0x00415250 NONE FUNC shell32.dll  ExtractIconA


