[Imports]
nth vaddr      bind type lib          name
――――――――――――――――――――――――――――――――――――――――――
1   0x0041302c NONE FUNC COMCTL32.dll InitCommonControlsEx
1   0x004131bc NONE FUNC SHLWAPI.dll  SHAutoComplete
1   0x00413068 NONE FUNC KERNEL32.dll DeleteFileW
2   0x0041306c NONE FUNC KERNEL32.dll DeleteFileA
3   0x00413070 NONE FUNC KERNEL32.dll CreateDirectoryA
4   0x00413074 NONE FUNC KERNEL32.dll CreateDirectoryW
5   0x00413078 NONE FUNC KERNEL32.dll FindClose
6   0x0041307c NONE FUNC KERNEL32.dll FindNextFileA
7   0x00413080 NONE FUNC KERNEL32.dll FindFirstFileA
8   0x00413084 NONE FUNC KERNEL32.dll FindNextFileW
9   0x00413088 NONE FUNC KERNEL32.dll FindFirstFileW
10  0x0041308c NONE FUNC KERNEL32.dll GetTickCount
11  0x00413090 NONE FUNC KERNEL32.dll WideCharToMultiByte
12  0x00413094 NONE FUNC KERNEL32.dll GlobalAlloc
13  0x00413098 NONE FUNC KERNEL32.dll GetVersionExW
14  0x0041309c NONE FUNC KERNEL32.dll GetFullPathNameA
15  0x004130a0 NONE FUNC KERNEL32.dll GetFullPathNameW
16  0x004130a4 NONE FUNC KERNEL32.dll MultiByteToWideChar
17  0x004130a8 NONE FUNC KERNEL32.dll GetModuleFileNameW
18  0x004130ac NONE FUNC KERNEL32.dll FindResourceW
19  0x004130b0 NONE FUNC KERNEL32.dll GetModuleHandleW
20  0x004130b4 NONE FUNC KERNEL32.dll HeapAlloc
21  0x004130b8 NONE FUNC KERNEL32.dll GetProcessHeap
22  0x004130bc NONE FUNC KERNEL32.dll HeapFree
23  0x004130c0 NONE FUNC KERNEL32.dll HeapReAlloc
24  0x004130c4 NONE FUNC KERNEL32.dll CompareStringA
25  0x004130c8 NONE FUNC KERNEL32.dll ExitProcess
26  0x004130cc NONE FUNC KERNEL32.dll GetLocaleInfoW
27  0x004130d0 NONE FUNC KERNEL32.dll SetFileAttributesW
28  0x004130d4 NONE FUNC KERNEL32.dll DosDateTimeToFileTime
29  0x004130d8 NONE FUNC KERNEL32.dll GetDateFormatW
30  0x004130dc NONE FUNC KERNEL32.dll GetTimeFormatW
31  0x004130e0 NONE FUNC KERNEL32.dll FileTimeToSystemTime
32  0x004130e4 NONE FUNC KERNEL32.dll FileTimeToLocalFileTime
33  0x004130e8 NONE FUNC KERNEL32.dll ExpandEnvironmentStringsW
34  0x004130ec NONE FUNC KERNEL32.dll WaitForSingleObject
35  0x004130f0 NONE FUNC KERNEL32.dll Sleep
36  0x004130f4 NONE FUNC KERNEL32.dll GetExitCodeProcess
37  0x004130f8 NONE FUNC KERNEL32.dll GetTempPathW
38  0x004130fc NONE FUNC KERNEL32.dll MoveFileExW
39  0x00413100 NONE FUNC KERNEL32.dll UnmapViewOfFile
40  0x00413104 NONE FUNC KERNEL32.dll MapViewOfFile
41  0x00413108 NONE FUNC KERNEL32.dll GetCommandLineW
42  0x0041310c NONE FUNC KERNEL32.dll CreateFileMappingW
43  0x00413110 NONE FUNC KERNEL32.dll SetEnvironmentVariableW
44  0x00413114 NONE FUNC KERNEL32.dll OpenFileMappingW
