Metadata Signature: 0x5a70 0x10001424a5342 12
.NET Version: v4.0.30319
Number of Metadata Streams: 5
DirectoryAddress: 6c Size: 1648
Stream name: #~ 4
DirectoryAddress: 16b4 Size: 1a14
Stream name: #Strings 12
DirectoryAddress: 30c8 Size: f08
Stream name: #US 4
DirectoryAddress: 3fd0 Size: 10
Stream name: #GUID 8
DirectoryAddress: 3fe0 Size: 9c0
Stream name: #Blob 8
[Strings]
nth paddr      vaddr      len size section type    string
―――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0   0x0000004d 0x0000004d 44  45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1   0x00000178 0x00000178 5   6            ascii   .text
2   0x0000019f 0x0000019f 6   7            ascii   `.rsrc
3   0x000001c7 0x000001c7 7   8            ascii   @.reloc
4   0x00000379 0x00402179 4   5    .text   ascii   \e-\n(
5   0x000003c5 0x004021c5 4   5    .text   ascii   \e-\n(
6   0x00000466 0x00402266 4   5    .text   ascii   \n*\e0
7   0x000004b8 0x004022b8 4   5    .text   ascii   \n\brM
8   0x000004d2 0x004022d2 4   5    .text   ascii   \n\brM
9   0x00000517 0x00402317 4   5    .text   ascii   \n\r(,
10  0x00000568 0x00402368 5   6    .text   ascii   \n\v\ao1
11  0x000005ae 0x004023ae 4   5    .text   ascii   \n*\e0
12  0x000005f1 0x004023f1 4   5    .text   ascii   \n\v(,
13  0x00000971 0x00402771 4   5    .text   ascii   \n\n(,
14  0x000009fd 0x004027fd 4   5    .text   ascii   \n&(6
15  0x00000a63 0x00402863 4   5    .text   ascii   \n\n(,
16  0x00000aad 0x004028ad 4   5    .text   ascii   \n\n(,
17  0x00000ad1 0x004028d1 4   5    .text   ascii   \n\v(,
18  0x00000b8f 0x0040298f 4   5    .text   ascii   \n&(6
19  0x00000c91 0x00402a91 4   5    .text   ascii   \n&(6
20  0x00000c9f 0x00402a9f 4   5    .text   ascii   \n\n(6
21  0x00000dd7 0x00402bd7 4   5    .text   ascii   \n\v(,
22  0x0000121e 0x0040301e 4   5    .text   ascii   &8_.
23  0x00001253 0x00403053 4   5    .text   ascii   \n8*.
24  0x00001267 0x00403067 4   5    .text   ascii   3C(u
25  0x000012a0 0x004030a0 4   5    .text   ascii   \n&(6
26  0x00001424 0x00403224 4   5    .text   ascii   \n8Y,
27  0x00001449 0x00403249 5   6    .text   ascii   \n&83,
28  0x0000177d 0x0040357d 4   5    .text   ascii   Y@o}
29  0x00001829 0x00403629 4   5    .text   ascii   \n8T(
30  0x00001b2c 0x0040392c 4   5    .text   ascii   \n&(#
31  0x00001b97 0x00403997 4   5    .text   ascii   3+(#
32  0x00001bd2 0x004039d2 4   5    .text   ascii   32(#
33  0x00001c00 0x00403a00 4   5    .text   ascii   \n8}$
34  0x00001c14 0x00403a14 4   5    .text   ascii   3(r/
35  0x00001cbc 0x00403abc 4   5    .text   ascii   )\er=
36  0x00001e15 0x00403c15 5   6    .text   ascii   \n&8g"
37  0x00001e2a 0x00403c2a 4   5    .text   ascii   3(ri
38  0x00001e62 0x00403c62 4   5    .text   ascii   3Xrq
39  0x00002001 0x00403e01 5   6    .text   ascii   \n&8{ 
40  0x00002053 0x00403e53 5   6    .text   ascii   \n&8) 
41  0x00002204 0x00404004 4   5    .text   ascii   \n&8x
42  0x00002449 0x00404249 4   5    .text   ascii   \n&(6
43  0x00002506 0x00404306 4   5    .text   ascii   \nr\a\a
44  0x00002530 0x00404330 4   5    .text   ascii   #r\r\a
45  0x0000255a 0x0040435a 4   5    .text   ascii   \nr\a\a
46  0x00002584 0x00404384 4   5    .text   ascii   #r!\a
47  0x00002591 0x00404391 5   6    .text   ascii   3`r;\a
48  0x000025f4 0x004043f4 4   5    .text   ascii   #rY\a
49  0x00002628 0x00404428 4   5    .text   ascii   #ro\a
50  0x000026b2 0x004044b2 4   5    .text   ascii   #ru\a
51  0x0000271a 0x0040451a 4   5    .text   ascii   \n&8b
52  0x0000272f 0x0040452f 4   5    .text   ascii   38~#
53  0x00002777 0x00404577 4   5    .text   ascii   3%(\
54  0x00002814 0x00404614 4   5    .text   ascii   \n,0(
55  0x00002872 0x00404672 4   5    .text   ascii   \nr\a\a
56  0x00002911 0x00404711 4   5    .text   ascii   \n,0(
57  0x0000296f 0x0040476f 4   5    .text   ascii   \nr\a\a
58  0x00002a57 0x00404857 4   5    .text   ascii   \n&8%
59  0x00002a5f 0x0040485f 4   5    .text   ascii   #r\r\b
60  0x00002b8c 0x0040498c 4   5    .text   ascii   \nr\a\a
61  0x00002bbb 0x004049bb 4   5    .text   ascii   #r%\b
62  0x00002c59 0x00404a59 4   5    .text   ascii   \nr\a\a
63  0x00002c88 0x00404a88 4   5    .text   ascii   #r-\b
64  0x00002dc4 0x00404bc4 4   5    .text   ascii   #r?\b
65  0x00002ef6 0x00404cf6 4   5    .text   ascii   #rI\b
66  0x00003028 0x00404e28 4   5    .text   ascii   #rY\b
67  0x0000315a 0x00404f5a 4   5    .text   ascii   #rg\b
68  0x00003179 0x00404f79 4   5    .text   ascii   #ru\b
69  0x00003186 0x00404f86 4   5    .text   ascii   3B~ 
70  0x000031f7 0x00404ff7 4   5    .text   ascii   34~!
71  0x00003202 0x00405002 4   5    .text   ascii   \n,#r
72  0x000034bb 0x004052bb 4   5    .text   ascii   #r\v\t
73  0x00003546 0x00405346 4   5    .text   ascii   \nr%\t
74  0x00003570 0x00405370 4   5    .text   ascii   #r-\t
75  0x000035a7 0x004053a7 4   5    .text   ascii   \nr\a\a
76  0x000035d1 0x004053d1 4   5    .text   ascii   #r7\t
77  0x000035f4 0x004053f4 4   5    .text   ascii   #rA\t
78  0x0000362d 0x0040542d 4   5    .text   ascii   \nr\a\a
79  0x00003657 0x00405457 4   5    .text   ascii   #rM\t
80  0x00003731 0x00405531 4   5    .text   ascii   \n8L\t
81  0x00003738 0x00405538 4   5    .text   ascii   #r]\t
82  0x000038b4 0x004056b4 4   5    .text   ascii   #rg\t
83  0x0000390b 0x0040570b 4   5    .text   ascii   \n8r\a
