[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x0000004d 0x0000004d 44  45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1    0x000000d6 0x000000d6 6   7            ascii   TjRich
2    0x000001f0 0x000001f0 5   6            ascii   .text
3    0x00000217 0x00000217 7   8            ascii   `.rdata
4    0x0000023f 0x0000023f 6   7            ascii   @.data
5    0x00000268 0x00000268 5   6            ascii   .rsrc
6    0x0000028f 0x0000028f 7   8            ascii   @.reloc
7    0x0000316e 0x00403d6e 4   5    .text   ascii   SVWP
8    0x00003329 0x00403f29 4   5    .text   ascii   Y_^[
9    0x00003357 0x00403f57 4   6    .text   utf8    +KM\b
10   0x00003389 0x00403f89 5   6    .text   ascii   t\vWSV
11   0x00003438 0x00404038 4   5    .text   ascii   9u\fs
12   0x0000347c 0x0040407c 5   6    .text   ascii   ]\bVSP
13   0x000034c8 0x004040c8 4   5    .text   ascii   u\r!p
14   0x000034f7 0x004040f7 4   5    .text   ascii   9M\br
15   0x0000350c 0x0040410c 4   5    .text   ascii   ;E\bv
16   0x0000356a 0x0040416a 4   6    .text   utf8    \f+Ã~ blocks=Basic Latin,Latin-1 Supplement
17   0x00003666 0x00404266 6   7    .text   ascii   \f9E\bv8
18   0x0000368f 0x0040428f 4   5    .text   ascii   h\b\rA
19   0x00003721 0x00404321 10  11   .text   ascii   E\bHt>Ht$Ht
20   0x0000376d 0x0040436d 4   5    .text   ascii   YYj\n
21   0x00003805 0x00404405 4   5    .text   ascii   YYj\n
22   0x00003818 0x00404418 4   5    .text   ascii   YY_^
23   0x0000394f 0x0040454f 9   10   .text   ascii   ;\bu;9E\fu6
24   0x0000398d 0x0040458d 5   6    .text   ascii   %;M\ft
25   0x000039a9 0x004045a9 6   7    .text   ascii   M\b;M\fu
26   0x000039c4 0x004045c4 5   6    .text   ascii   VWt\nh
27   0x00003a50 0x00404650 5   6    .text   ascii   9Z\bu{
28   0x00003a7d 0x0040467d 4   5    .text   ascii   ;C\bu
29   0x00003be7 0x004047e7 5   6    .text   ascii   Y_^[v
30   0x00003c0f 0x0040480f 4   5    .text   ascii   u$!E
31   0x00003c20 0x00404820 4   5    .text   ascii   h\b\rA
32   0x00003c6d 0x0040486d 4   5    .text   ascii   _^[]
33   0x00003cdd 0x004048dd 4   5    .text   ascii   ;J\bu
34   0x00003cef 0x004048ef 4   6    .text   utf8    Ë\bS2 blocks=Latin-1 Supplement,Basic Latin
35   0x00003cfb 0x004048fb 4   5    .text   ascii   Q\b8Z
36   0x00003d05 0x00404905 4   6    .text   utf8    ы\n8Y blocks=Cyrillic,Basic Latin
37   0x00003d13 0x00404913 5   6    .text   ascii   ;Q\bu\n
38   0x00003d50 0x00404950 6   7    .text   ascii   ;\vt-VW
39   0x00003efa 0x00404afa 5   6    .text   ascii   tQSVW
40   0x00003f57 0x00404b57 5   6    .text   ascii   ]\fVW3
41   0x00003fa1 0x00404ba1 5   7    .text   utf8    E\b+ƉE blocks=Basic Latin,Latin Extended-B
42   0x00003ff6 0x00404bf6 4   5    .text   ascii   y\aH\r
43   0x00004030 0x00404c30 4   6    .text   utf8    Q3\tE
44   0x00004036 0x00404c36 7   8    .text   ascii   9E\bt%9E
45   0x0000408d 0x00404c8d 5   6    .text   ascii   F\bxpA
46   0x000040b6 0x00404cb6 4   5    .text   ascii   9N\fv
47   0x000040e6 0x00404ce6 5   6    .text   ascii   SVf9\b
48   0x00004102 0x00404d02 6   8    .text   utf8    WjD3ۍE blocks=Basic Latin,Arabic
49   0x00004111 0x00404d11 4   7    .text   utf8    3\r}̫ blocks=Basic Latin,Combining Diacritical Marks
50   0x0000416e 0x00404d6e 4   5    .text   ascii   u\bSS
51   0x0000417f 0x00404d7f 4   5    .text   ascii   PSSj
52   0x0000423e 0x00404e3e 5   6    .text   ascii   9^Tv7
53   0x00004247 0x00404e47 5   7    .text   utf8    E\f+IM
