[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x000001d0 0x000001d0 5   6            ascii   .text
1    0x000001f7 0x000001f7 6   7            ascii   `.data
2    0x00000220 0x00000220 6   7            ascii   .reloc
3    0x00001099 0x00401c99 4   5    .text   ascii   ZFua
4    0x000010a9 0x00401ca9 4   5    .text   ascii   sEwP
5    0x000010bd 0x00401cbd 10  12   .text   utf8    _Ew@fEwߖEw blocks=Basic Latin,NKo
6    0x000010c9 0x00401cc9 4   5    .text   ascii   hEw;
7    0x000010ea 0x00401cea 4   5    .text   ascii   .wL@
8    0x000010f9 0x00401cf9 4   5    .text   ascii   --wD
9    0x0000127d 0x00401e7d 8   9    .text   ascii   w,wPw,wI
10   0x000012c4 0x00401ec4 8   9    .text   ascii   q</v\bW6v
11   0x000013bb 0x00401fbb 4   6    .text   utf8    ua̜u blocks=Basic Latin,Combining Diacritical Marks
12   0x0000141f 0x0040201f 4   6    .text   utf8    ufۜu blocks=Basic Latin,Arabic
13   0x00001437 0x00402037 4   6    .text   utf8    uiƛu blocks=Basic Latin,Latin Extended-B
14   0x000014bb 0x004020bb 6   8    .text   utf8    u8ΜuLT blocks=Basic Latin,Greek and Coptic
15   0x000014db 0x004020db 4   6    .text   utf8    u>ܮu blocks=Basic Latin,Syriac
16   0x000014f7 0x004020f7 4   6    .text   utf8    u6Ӷu blocks=Basic Latin,Cyrillic
17   0x00001525 0x00402125 7   8    .text   ascii   D<wGq<w
18   0x0000152d 0x0040212d 7   8    .text   ascii   7<w\eK<w
19   0x00001541 0x00402141 6   8    .text   utf8    B<wܶ<w blocks=Basic Latin,Syriac
20   0x000015a2 0x004021a2 4   5    .text   ascii   3)6{
21   0x000015f8 0x004021f8 4   10   .text   utf16le .tmp
22   0x00001604 0x00402204 27  28   .text   ascii   http://www.google.com/webhp
23   0x00001628 0x00402228 4   10   .text   utf16le .exe
24   0x0000163c 0x0040223c 5   6    .text   ascii   socks
25   0x00001646 0x00402246 20  42   .text   utf16le cGlobal\%08X%08X%08X
26   0x000016e8 0x004022e8 9   20   .text   utf16le nspr4.dll
27   0x000016fc 0x004022fc 8   18   .text   utf16le nss3.dll
28   0x00001710 0x00402310 16  17   .text   ascii   PR_OpenTCPSocket
29   0x00001724 0x00402324 8   9    .text   ascii   PR_Close
30   0x00001730 0x00402330 7   8    .text   ascii   PR_Read
31   0x00001738 0x00402338 8   9    .text   ascii   PR_Write
32   0x00001744 0x00402344 12  13   .text   ascii   RFB 003.003\n
33   0x00001754 0x00402354 4   5    .text   ascii   RFB 
34   0x0000175c 0x0040235c 13  28   .text   utf16le SysListView32
35   0x00001778 0x00402378 9   20   .text   utf16le MDIClient
36   0x0000178c 0x0040238c 16  34   .text   utf16le CiceroUIWndFrame
37   0x000017b0 0x004023b0 18  38   .text   utf16le ConsoleWindowClass
38   0x000017d8 0x004023d8 6   14   .text   utf16le #32768
39   0x000017e8 0x004023e8 9   20   .text   utf16le SysShadow
40   0x00002721 0x00403321 6   7    .text   ascii   ;0;T2/
41   0x00002753 0x00403353 10  11   .text   ascii   1f=}|T^yI2
42   0x00002769 0x00403369 5   7    .text   utf8    M\V!9
43   0x0000279a 0x0040339a 7   8    .text   ascii   mO#{{Sh
44   0x000027a2 0x004033a2 20  21   .text   ascii   GRBIFRPNkP.R;Zs^\vS\nT
45   0x000027cb 0x004033cb 5   6    .text   ascii   `Yo\v&
46   0x00002834 0x00403434 6   7    .text   ascii   m?H?rk
47   0x0000284d 0x0040344d 5   7    .text   utf8    \b͑o5& blocks=Basic Latin,Combining Diacritical Marks
48   0x0000286a 0x0040346a 5   7    .text   utf8    ۚTO0& blocks=Arabic,Basic Latin
49   0x000028d5 0x004034d5 4   5    .text   ascii   fT"u
50   0x0000293e 0x0040353e 4   6    .text   utf8    Xڈ_X blocks=Basic Latin,Arabic
51   0x0000299b 0x0040359b 5   7    .text   utf8    ɢ)MvF blocks=IPA Extensions,Basic Latin
52   0x000029a9 0x004035a9 4   5    .text   ascii   7E?4
53   0x000029c4 0x004035c4 6   7    .text   ascii   ]J#i\f#
54   0x000029cb 0x004035cb 4   5    .text   ascii   \bCuv
55   0x00002a08 0x00403608 5   6    .text   ascii   SMV7s
56   0x000032c0 0x00403ec0 5   6    .text   ascii   FIXME
57   0x000032d8 0x00403ed8 11  12   .text   ascii   gdiplus.dll
58   0x000032e4 0x00403ee4 14  15   .text   ascii   GdiplusStartup
59   0x000032f4 0x00403ef4 15  16   .text   ascii   GdiplusShutdown
60   0x00003304 0x00403f04 27  28   .text   ascii   GdipCreateBitmapFromHBITMAP
61   0x00003320 0x00403f20 16  17   .text   ascii   GdipDisposeImage
62   0x00003334 0x00403f34 24  25   .text   ascii   GdipGetImageEncodersSize
63   0x00003350 0x00403f50 20  21   .text   ascii   GdipGetImageEncoders
64   0x00003368 0x00403f68 21  22   .text   ascii   GdipSaveImageToStream
65   0x00003380 0x00403f80 9   10   .text   ascii   ole32.dll
66   0x0000338c 0x00403f8c 21  22   .text   ascii   CreateStreamOnHGlobal
67   0x000033a4 0x00403fa4 9   10   .text   ascii   gdi32.dll
68   0x000033b0 0x00403fb0 9   10   .text   ascii   CreateDCW
69   0x000033bc 0x00403fbc 18  19   .text   ascii   CreateCompatibleDC
70   0x000033d0 0x00403fd0 22  23   .text   ascii   CreateCompatibleBitmap
71   0x000033e8 0x00403fe8 13  14   .text   ascii   GetDeviceCaps
72   0x000033f8 0x00403ff8 12  13   .text   ascii   SelectObject
73   0x00003408 0x00404008 6   7    .text   ascii   BitBlt
74   0x00003410 0x00404010 12  13   .text   ascii   DeleteObject
75   0x00003420 0x00404020 8   9    .text   ascii   DeleteDC
76   0x0000342c 0x0040402c 7   16   .text   utf16le DISPLAY
77   0x0000343c 0x0040403c 19  40   .text   utf16le SeShutdownPrivilege
78   0x00003471 0x00404071 9   10   .text   ascii   +>?*-,\n(>
79   0x000034c8 0x004040c8 4   5    .text   ascii   =?;/
80   0x000034cd 0x004040cd 4   5    .text   ascii   \n\t \a
81   0x000034dc 0x004040dc 8   9    .text   ascii   : ;2*8.>
82   0x000034e5 0x004040e5 7   8    .text   ascii   8-,).,0
83   0x00003534 0x00404134 11  12   .text   ascii   X~`ftx{Rxl~
84   0x00003570 0x00404170 16  17   .text   ascii   , 8M$$<I%5=56&$@
85   0x0000359c 0x0040419c 12  13   .text   ascii   9%.37+?)z0.2
86   0x000035b8 0x004041b8 6   7    .text   ascii   J\MGBB
87   0x000035dc 0x004041dc 12  13   .text   ascii   >*;"& ?9l&8$
88   0x000035fc 0x004041fc 6   7    .text   ascii   `_[GGS
89   0x0000360a 0x0040420a 25  26   .text   ascii   y}{bx7{vwv}sz?au"omkc'-|$
90   0x00003625 0x00404225 31  32   .text   ascii   <73==z/;u3/52'')m- %$+% e'3`-+-
91   0x00003645 0x00404245 4   5    .text   ascii   ][\nV
92   0x0000368f 0x0040428f 4   5    .text   ascii   \v22q
93   0x00003737 0x00404337 4   5    .text   ascii   \t#\b\f
94   0x00003748 0x00404348 4   5    .text   ascii   ;<)?
95   0x00003751 0x00404351 5   6    .text   ascii   %(*!(
96   0x00003790 0x00404390 16  17   .text   ascii   TSFPzGHIBANYrKJZ
97   0x00003800 0x00404400 21  22   .text   ascii   nbzP`}~{mklbcu]fr||s}
98   0x0000381f 0x0040441f 4   5    .text   ascii   \e\r\v\f
99   0x00003830 0x00404430 13  14   .text   ascii   YUMg]]bNV_^FR
100  0x000038a8 0x004044a8 4   5    .text   ascii   tdut
101  0x000038b0 0x004044b0 12  13   .text   ascii   |{nxdbfz/e{g
102  0x00003921 0x00404521 8   9    .text   ascii   3.#70!2)
103  0x0000392a 0x0040452a 14  15   .text   ascii   86491*qb}b\t'2"
104  0x0000396c 0x0040456c 4   5    .text   ascii   vPOI
105  0x00003998 0x00404598 4   5    .text   ascii   dcv`
106  0x000039d0 0x004045d0 5   6    .text   ascii   9*-\8
107  0x000039e2 0x004045e2 12  13   .text   ascii   x#m`a`cmddt-
108  0x00003a18 0x00404618 11  12   .text   ascii   ~mjwunj1dif
109  0x00003a38 0x00404638 8   9    .text   ascii   CDQG\R]T
110  0x00003a44 0x00404644 10  11   .text   ascii   smstishfnx
111  0x00003a5c 0x0040465c 9   10   .text   ascii   6+!26!1'1
112  0x00003a7d 0x0040467d 8   9    .text   ascii   7"52),,>
113  0x00003a8a 0x0040468a 9   10   .text   ascii   \at>3?18;/
114  0x00003aa8 0x004046a8 8   9    .text   ascii   ;<)?$*%,
115  0x00003ab4 0x004046b4 8   9    .text   ascii   71.(5;4=
116  0x00003b05 0x00404705 4   5    .text   ascii   (./-
117  0x00003b0d 0x0040470d 9   10   .text   ascii   XTP^@PT[W
118  0x00003b20 0x00404720 4   5    .text   ascii   {\I_
119  0x00003b44 0x00404744 5   6    .text   ascii   sv#71
120  0x00003b60 0x00404760 7   8    .text   ascii   PTBVTX@
121  0x00003b71 0x00404771 8   9    .text   ascii   (203,2$0
122  0x00003b94 0x00404794 4   5    .text   ascii   ;="$
123  0x00003b9c 0x0040479c 8   9    .text   ascii   \v699685\f
124  0x00003bb4 0x004047b4 15  16   .text   ascii   Hrj~t9Ytyxwytt`
125  0x00003bc4 0x004047c4 6   7    .text   ascii   6zvvku
126  0x00003be4 0x004047e4 10  11   .text   ascii   x'?%7;78>q
127  0x00003bff 0x004047ff 7   8    .text   ascii   ggaekha
128  0x00003c2c 0x0040482c 8   9    .text   ascii   /?./,5+<
129  0x00003c44 0x00404844 4   5    .text   ascii   oivp
130  0x00003c54 0x00404854 11  12   .text   ascii   boml`gsoffx
131  0x00003c60 0x00404860 11  12   .text   ascii   cvnHveb=usw
132  0x00003c6c 0x0040486c 8   9    .text   ascii   V}s`|SNG
133  0x00003c84 0x00404884 10  11   .text   ascii   :>(<<44=3%
134  0x00003c92 0x00404892 5   6    .text   ascii   \e\b\f\e\v
135  0x00003c9a 0x0040489a 4   5    .text   ascii   95 :
136  0x00003cd8 0x004048d8 9   10   .text   ascii   !:$4%y04.
137  0x00003ce4 0x004048e4 9   10   .text   ascii   0\tx|7\r{v%
138  0x00003cee 0x004048ee 6   7    .text   ascii   +$72 .
139  0x00003cf5 0x004048f5 8   9    .text   ascii   \n<oj4j\v=
140  0x00003d3c 0x0040493c 6   7    .text   ascii   @I10(L
141  0x00003d44 0x00404944 4   5    .text   ascii   63<,
142  0x00003d5c 0x0040495c 5   6    .text   ascii   _\b'*\e
143  0x00003d8c 0x0040498c 12  13   .text   ascii   7`ODerfJTzu|
144  0x00003daa 0x004049aa 4   5    .text   ascii   ]lh3
145  0x00003dc6 0x004049c6 6   7    .text   ascii   AZ`7MO
146  0x00003dcd 0x004049cd 12  13   .text   ascii   !01:#=*shn9_
147  0x00003dfc 0x004049fc 17  18   .text   ascii   NQKNF]v{|xHWutaw~
148  0x00003e54 0x00404a54 4   5    .text   ascii   .g9n
149  0x00003e5c 0x00404a5c 4   5    .text   ascii   Yjd}
150  0x00003e70 0x00404a70 26  27   .text   ascii   }@JY]JZLzjMFPLSNXK`jSU\VAD
151  0x00003e8b 0x00404a8b 4   5    .text   ascii   y[EU
152  0x00003e90 0x00404a90 4   5    .text   ascii   Cnea
153  0x00003ee0 0x00404ae0 7   8    .text   ascii   nUWNJKL
154  0x00003ee8 0x00404ae8 7   8    .text   ascii   lP[XH_\
155  0x00003ef0 0x00404af0 10  11   .text   ascii   cUP[E]RXMK
156  0x00003efc 0x00404afc 7   8    .text   ascii   hWSXTMJ
157  0x00003f04 0x00404b04 4   5    .text   ascii   zW\X
158  0x00003f09 0x00404b09 10  11   .text   ascii   `TSF^DIE^Z
159  0x00003f64 0x00404b64 7   8    .text   ascii   xooc[OG
160  0x00003f6c 0x00404b6c 11  12   .text   ascii   8%/<8/?)?/\b
161  0x00003f7e 0x00404b7e 9   10   .text   ascii   %/><!8?>!
162  0x00003fa4 0x00404ba4 5   6    .text   ascii   x}#>:
163  0x000040b0 0x00404cb0 12  13   .text   ascii   CN_@@Hs@K[EE
164  0x000040bf 0x00404cbf 5   6    .text   ascii   C[WK\
165  0x000040c6 0x00404cc6 17  18   .text   ascii   17G@UCiGFPl#*zkly
166  0x000040d8 0x00404cd8 24  25   .text   ascii   kwy/qfvkEmq|ivrzM~yiss:f
167  0x000040f7 0x00404cf7 7   8    .text   ascii   \b@O@\a\a\v
168  0x00004100 0x00404d00 6   7    .text   ascii   S@us\v\f
169  0x00004110 0x00404d10 12  13   .text   ascii   /(=;';5c5"2/
170  0x0000411d 0x00404d1d 6   7    .text   ascii   41'72,
171  0x00004124 0x00404d24 12  13   .text   ascii   71/81&"4t{t3
172  0x00004180 0x00404d80 10  11   .text   ascii   lWuCMAWK[I
173  0x0000418c 0x00404d8c 7   8    .text   ascii   jIW_WSY
174  0x00004198 0x00404d98 12  13   .text   ascii   efxpx|va3uqw
175  0x000041a9 0x00404da9 5   6    .text   ascii   xm{ e
176  0x000041b0 0x00404db0 7   8    .text   ascii   \b+=/-,"
177  0x000041b8 0x00404db8 7   8    .text   ascii   \v%=+/'3
178  0x000041e8 0x00404de8 5   6    .text   ascii   !6|Me
179  0x00004230 0x00404e30 7   8    .text   ascii   \e8;<.+q
180  0x00004238 0x00404e38 19  20   .text   ascii   <0?5?93oj",, ;%9;NJ
181  0x000042d2 0x00404ed2 5   6    .text   ascii   \fY;\a\f
182  0x000042d8 0x00404ed8 4   5    .text   ascii   -1%3
183  0x000042de 0x00404ede 6   7    .text   ascii   6,<*+0
184  0x00004300 0x00404f00 47  48   .text   ascii   {l|j\Lk`vjuh~mFRri{m~tf3Qmf{G[OYp}FFSIKMCcOKL\H
185  0x00004368 0x00404f68 9   10   .text   ascii   @NLL\IHSZ
186  0x00004374 0x00404f74 4   5    .text   ascii   MSO\r
187  0x00004390 0x00404f90 5   6    .text   ascii   ;&% W
188  0x000043aa 0x00404faa 6   7    .text   ascii   \f\fFTMI
189  0x000043e8 0x00404fe8 15  16   .text   ascii   fvuhja`tfac#s'~
190  0x000043f8 0x00404ff8 5   6    .text   ascii   `;s{a
191  0x000043fe 0x00404ffe 11  12   .text   ascii   <emrxrxu}}C
192  0x00004444 0x00405044 7   8    .text   ascii   B,';84D
193  0x0000444d 0x0040504d 11  12   .text   ascii   X\rZ$}IKGQES
194  0x0000445b 0x0040505b 6   7    .text   ascii   v0nK\L
195  0x00004462 0x00405062 6   7    .text   ascii   USBFD\v
196  0x0000446a 0x0040506a 18  19   .text   ascii   G?/xXF][,icwa;\f\r!V
197  0x00004510 0x00405110 15  16   .text   ascii   \F@DB[ArTNHLJSI
198  0x000045a0 0x004051a0 5   6    .text   ascii   QT[\Y
199  0x000045a6 0x004051a6 4   5    .text   ascii   TOUV
200  0x000045c2 0x004051c2 4   5    .text   ascii   =EOJ
201  0x000045c7 0x004051c7 4   5    .text   ascii   #^JA
202  0x000045d8 0x004051d8 8   9    .text   ascii   HTTP/1.1
203  0x000045e4 0x004051e4 4   5    .text   ascii   POST
204  0x000045f0 0x004051f0 14  15   .text   ascii   GetProcAddress
205  0x00004600 0x00405200 12  13   .text   ascii   LoadLibraryA
206  0x00004610 0x00405210 14  15   .text   ascii   NtCreateThread
207  0x00004620 0x00405220 19  20   .text   ascii   NtCreateUserProcess
208  0x00004634 0x00405234 25  26   .text   ascii   NtQueryInformationProcess
209  0x00004650 0x00405250 18  19   .text   ascii   RtlUserThreadStart
210  0x00004664 0x00405264 10  11   .text   ascii   LdrLoadDll
211  0x00004670 0x00405270 15  16   .text   ascii   LdrGetDllHandle
212  0x00004680 0x00405280 18  38   .text   utf16le SOFTWARE\Microsoft
213  0x000046a8 0x004052a8 4   10   .text   utf16le .dat
214  0x000046b4 0x004052b4 10  11   .text   ascii   0x01D9C0A0
215  0x000046f8 0x004052f8 80  81   .text   ascii   |$$$}rstuvwxyz{$$$$$$$>?@ABCDEFGHIJKLMNOPQRSTUVW$$$$$$XYZ[\]^_`abcdefghijklmnopq
216  0x0000474c 0x0040534c 12  26   .text   utf16le kernel32.dll
217  0x00004768 0x00405368 14  15   .text   ascii   IsWow64Process
218  0x00004778 0x00405378 4   10   .text   utf16le "%s"
219  0x00004784 0x00405384 7   16   .text   utf16le "%s" %s
220  0x00004794 0x00405394 11  12   .text   ascii   userenv.dll
221  0x000047a0 0x004053a0 22  23   .text   ascii   CreateEnvironmentBlock
222  0x000047b8 0x004053b8 23  24   .text   ascii   DestroyEnvironmentBlock
223  0x000047d0 0x004053d0 34  35   .text   ascii   :d\r\ndel "%s"\r\nif exist "%s" goto d
224  0x000047fc 0x004053fc 28  29   .text   ascii   @echo off\r\n%s\r\ndel /F "%s"\r\n
225  0x0000481c 0x0040541c 7   16   .text   utf16le /c "%s"
226  0x0000482c 0x0040542c 7   16   .text   utf16le ComSpec
227  0x0000483c 0x0040543c 55  56   .text   ascii   Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; SV1)
228  0x00004874 0x00405474 19  20   .text   ascii   Connection: close\r\n
229  0x00004888 0x00405488 10  11   .text   ascii   urlmon.dll
230  0x00004894 0x00405494 21  22   .text   ascii   ObtainUserAgentString
231  0x000048c4 0x004054c4 19  40   .text   utf16le S:(ML;;NRNWNX;;;LW)
232  0x000048ec 0x004054ec 19  40   .text   utf16le SeSecurityPrivilege
233  0x00004914 0x00405514 23  48   .text   utf16le S:(ML;CIOI;NRNWNX;;;LW)
234  0x00004958 0x00405558 11  12   .text   ascii   cabinet.dll
235  0x00004964 0x00405564 9   10   .text   ascii   FCICreate
236  0x00004970 0x00405570 10  11   .text   ascii   FCIAddFile
237  0x0000497c 0x0040557c 15  16   .text   ascii   FCIFlushCabinet
238  0x0000498c 0x0040558c 10  11   .text   ascii   FCIDestroy
239  0x00004998 0x00405598 19  20   .text   ascii   bcdfghklmnpqrstvwxz
240  0x000049ac 0x004055ac 6   7    .text   ascii   aeiouy
241  0x000049b4 0x004055b4 7   16   .text   utf16le Global\
242  0x000049c4 0x004055c4 6   14   .text   utf16le Local\
243  0x00004a10 0x00405610 18  19   .text   ascii   \n\n\n \n\n\n\n\n\n\n\nscript
244  0x00004a24 0x00405624 5   6    .text   ascii   nbsp;
245  0x00004a2c 0x0040562c 6   7    .text   ascii   Basic 
246  0x00004a3c 0x0040563c 9   20   .text   utf16le %s%08x.%s
247  0x00004a50 0x00405650 6   14   .text   utf16le %s%08x
248  0x00004a6c 0x0040566c 21  22   .text   ascii   PR_GetNameForIdentity
249  0x00004a84 0x00405684 11  12   .text   ascii   PR_SetError
250  0x00004a90 0x00405690 11  12   .text   ascii   PR_GetError
251  0x00004a9c 0x0040569c 4   5    .text   ascii   Host
252  0x00004aa4 0x004056a4 14  15   .text   ascii   Content-Length
253  0x00004ab4 0x004056b4 7   8    .text   ascii   http://
254  0x00004abc 0x004056bc 9   10   .text   ascii   NSS layer
255  0x00004ac8 0x004056c8 8   9    .text   ascii   https://
256  0x00004ad4 0x004056d4 7   8    .text   ascii   Referer
257  0x00004adc 0x004056dc 12  13   .text   ascii   Content-Type
258  0x00004aec 0x004056ec 13  14   .text   ascii   Authorization
259  0x00004afc 0x004056fc 4   5    .text   ascii   \r\n\r\n
