[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x000001d0 0x000001d0 5   6            ascii   .text
1    0x000001f7 0x000001f7 6   7            ascii   `.data
2    0x00000220 0x00000220 6   7            ascii   .reloc
3    0x000009a2 0x004015a2 4   5    .text   ascii   3)6{
4    0x000009f8 0x004015f8 4   10   .text   utf16le .tmp
5    0x00000a04 0x00401604 27  28   .text   ascii   http://www.google.com/webhp
6    0x00000a28 0x00401628 4   10   .text   utf16le .exe
7    0x00000a3c 0x0040163c 5   6    .text   ascii   socks
8    0x00000a46 0x00401646 20  42   .text   utf16le cGlobal\%08X%08X%08X
9    0x00000ae8 0x004016e8 9   20   .text   utf16le nspr4.dll
10   0x00000afc 0x004016fc 8   18   .text   utf16le nss3.dll
11   0x00000b10 0x00401710 16  17   .text   ascii   PR_OpenTCPSocket
12   0x00000b24 0x00401724 8   9    .text   ascii   PR_Close
13   0x00000b30 0x00401730 7   8    .text   ascii   PR_Read
14   0x00000b38 0x00401738 8   9    .text   ascii   PR_Write
15   0x00000b44 0x00401744 12  13   .text   ascii   RFB 003.003\n
16   0x00000b54 0x00401754 4   5    .text   ascii   RFB 
17   0x00000b5c 0x0040175c 13  28   .text   utf16le SysListView32
18   0x00000b78 0x00401778 9   20   .text   utf16le MDIClient
19   0x00000b8c 0x0040178c 16  34   .text   utf16le CiceroUIWndFrame
20   0x00000bb0 0x004017b0 18  38   .text   utf16le ConsoleWindowClass
21   0x00000bd8 0x004017d8 6   14   .text   utf16le #32768
22   0x00000be8 0x004017e8 9   20   .text   utf16le SysShadow
23   0x00001b21 0x00402721 6   7    .text   ascii   ;0;T2/
24   0x00001b53 0x00402753 10  11   .text   ascii   1f=}|T^yI2
25   0x00001b69 0x00402769 5   7    .text   utf8    M\V!9
26   0x00001b99 0x00402799 4   5    .text   ascii   SqNi
27   0x00001b9e 0x0040279e 6   7    .text   ascii   wR3^IP
28   0x00001ba5 0x004027a5 12  13   .text   ascii   MUSYQk^#S2T;
29   0x00001bcb 0x004027cb 5   6    .text   ascii   `Yo\v&
30   0x00001c34 0x00402834 6   7    .text   ascii   m?H?rk
31   0x00001c4d 0x0040284d 5   7    .text   utf8    \b͑o5& blocks=Basic Latin,Combining Diacritical Marks
32   0x00001c6a 0x0040286a 5   7    .text   utf8    ۚTO0& blocks=Arabic,Basic Latin
33   0x00001cba 0x004028ba 4   5    .text   ascii   -i0s
34   0x00001d2f 0x0040292f 5   7    .text   utf8    ڈ[\nIg blocks=Arabic,Basic Latin
35   0x00001d62 0x00402962 4   5    .text   ascii   \e7ra
36   0x00001d71 0x00402971 4   5    .text   ascii   n<NL
37   0x00001d9b 0x0040299b 5   7    .text   utf8    ɢ)MvF blocks=IPA Extensions,Basic Latin
38   0x00001da9 0x004029a9 4   5    .text   ascii   7E?4
