[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x0000004d 0x0000004d 44  45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1    0x00000095 0x00000095 7   8            ascii   Im\r)8l\f
2    0x0000009d 0x0000009d 7   8            ascii   Im\r)8h\f
3    0x000000a5 0x000000a5 7   8            ascii   Im\r)8i\f
4    0x000000ad 0x000000ad 7   8            ascii   Im\r)8n\f
5    0x000000c1 0x000000c1 7   8            ascii   Il\rSIm\r
6    0x000000e5 0x000000e5 7   8            ascii   Im\rRich
7    0x000001f8 0x000001f8 5   6            ascii   .text
8    0x0000021f 0x0000021f 7   8            ascii   `.rdata
9    0x00000247 0x00000247 6   7            ascii   @.data
10   0x00000270 0x00000270 5   6            ascii   .rsrc
11   0x00000297 0x00000297 7   8            ascii   @.reloc
12   0x000004fd 0x004010fd 6   9    .text   utf8    t\vj\fV諭 blocks=Basic Latin,CJK Unified Ideographs
13   0x000008c5 0x004014c5 5   7    .text   utf8    3ɋE\b@ blocks=Basic Latin,Latin Extended-B
14   0x000008cd 0x004014cd 4   7    .text   utf8    PWQ觺 blocks=Basic Latin,CJK Unified Ideographs
15   0x000008e3 0x004014e3 4   5    .text   ascii   _^[]
16   0x000009b5 0x004015b5 4   7    .text   utf8    3VW迹 blocks=Basic Latin,CJK Unified Ideographs
17   0x00000a2c 0x0040162c 5   7    .text   utf8    É;_^[ blocks=Latin-1 Supplement,Basic Latin
18   0x00000bde 0x004017de 4   5    .text   ascii   hL\eA
19   0x00000c9d 0x0040189d 4   5    .text   ascii   Wj P
20   0x00000cd1 0x004018d1 6   8    .text   utf8    ʀ9 t\n; blocks=IPA Extensions,Basic Latin
21   0x00000db1 0x004019b1 4   5    .text   ascii   SVWP
22   0x00000ead 0x00401aad 4   5    .text   ascii   CE P
23   0x00000fa9 0x00401ba9 4   5    .text   ascii   F\bu\a
24   0x0000109c 0x00401c9c 4   5    .text   ascii   Pj:S
25   0x00001174 0x00401d74 4   5    .text   ascii   j\nh,
26   0x0000161c 0x0040221c 5   6    .text   ascii   ;G\bt\r
27   0x000017a3 0x004023a3 4   5    .text   ascii   w3QW
28   0x0000180c 0x0040240c 5   8    .text   utf8    wBRQ蝚 blocks=Basic Latin,CJK Unified Ideographs
29   0x0000188e 0x0040248e 5   6    .text   ascii   ~\bOu\a
30   0x000018a6 0x004024a6 4   5    .text   ascii   Y_^[
31   0x000018f7 0x004024f7 4   7    .text   utf8    ЉEăx blocks=Cyrillic,Basic Latin,Latin Extended-A
32   0x00001928 0x00402528 5   8    .text   utf8    \f3\tMЃ blocks=Basic Latin,Cyrillic
33   0x00001985 0x00402585 5   6    .text   ascii   ;H\bt 
34   0x000019f2 0x004025f2 4   7    .text   utf8    MċыA blocks=Basic Latin,Latin Extended-A,Cyrillic
35   0x00001a2b 0x0040262b 5   9    .text   utf8    UԋȋẼ blocks=Basic Latin,Cyrillic Supplement,Latin Extended-B,Combining Diacritical Marks
36   0x00001a8d 0x0040268d 4   5    .text   ascii   ;H\bt
37   0x00001b31 0x00402731 5   6    .text   ascii   _\bKu\a
38   0x00001d60 0x00402960 4   5    .text   ascii   j\nh@
39   0x00001d8d 0x0040298d 4   5    .text   ascii   jxhP
40   0x00001dd4 0x004029d4 4   5    .text   ascii   \bj\nh
41   0x00001e4c 0x00402a4c 4   5    .text   ascii   \bj\ah
42   0x00001f59 0x00402b59 4   5    .text   ascii   CE P
43   0x00001fb0 0x00402bb0 5   6    .text   ascii   ;p\bu\v
44   0x00001fdd 0x00402bdd 5   6    .text   ascii   E8;0u
45   0x00002034 0x00402c34 5   6    .text   ascii   ;p\bu\v
46   0x0000205f 0x00402c5f 5   6    .text   ascii   E<;0u
47   0x000021f0 0x00402df0 7   10   .text   utf8    N\a@PVQ臡 blocks=Basic Latin,CJK Unified Ideographs
48   0x00002259 0x00402e59 4   5    .text   ascii   CM\bj
49   0x00002363 0x00402f63 4   5    .text   ascii   9j/P
50   0x00002508 0x00403108 4   5    .text   ascii   E\b9M
51   0x000026bd 0x004032bd 4   5    .text   ascii   w4RQ
52   0x000028fb 0x004034fb 5   8    .text   utf8    wBRQ讉 blocks=Basic Latin,CJK Unified Ideographs
53   0x0000299e 0x0040359e 4   5    .text   ascii   SVWP
54   0x00002a93 0x00403693 4   5    .text   ascii   wIRQ
55   0x00002b0b 0x0040370b 4   5    .text   ascii   j\fhT
56   0x00002b2e 0x0040372e 4   5    .text   ascii   jWhh
57   0x00002bed 0x004037ed 4   5    .text   ascii   <Uu\f
