[Imports]
nth vaddr      bind type lib                               name
―――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
1   0x0040d000 NONE FUNC KERNEL32.dll                      GetLastError
2   0x0040d004 NONE FUNC KERNEL32.dll                      VirtualProtect
3   0x0040d008 NONE FUNC KERNEL32.dll                      VirtualAlloc
4   0x0040d00c NONE FUNC KERNEL32.dll                      MultiByteToWideChar
5   0x0040d010 NONE FUNC KERNEL32.dll                      EnterCriticalSection
6   0x0040d014 NONE FUNC KERNEL32.dll                      LeaveCriticalSection
7   0x0040d018 NONE FUNC KERNEL32.dll                      InitializeCriticalSectionAndSpinCount
8   0x0040d01c NONE FUNC KERNEL32.dll                      DeleteCriticalSection
9   0x0040d020 NONE FUNC KERNEL32.dll                      SetEvent
10  0x0040d024 NONE FUNC KERNEL32.dll                      ResetEvent
11  0x0040d028 NONE FUNC KERNEL32.dll                      WaitForSingleObjectEx
12  0x0040d02c NONE FUNC KERNEL32.dll                      CreateEventW
13  0x0040d030 NONE FUNC KERNEL32.dll                      GetModuleHandleW
14  0x0040d034 NONE FUNC KERNEL32.dll                      GetProcAddress
15  0x0040d038 NONE FUNC KERNEL32.dll                      UnhandledExceptionFilter
16  0x0040d03c NONE FUNC KERNEL32.dll                      SetUnhandledExceptionFilter
17  0x0040d040 NONE FUNC KERNEL32.dll                      GetCurrentProcess
18  0x0040d044 NONE FUNC KERNEL32.dll                      TerminateProcess
19  0x0040d048 NONE FUNC KERNEL32.dll                      IsProcessorFeaturePresent
20  0x0040d04c NONE FUNC KERNEL32.dll                      IsDebuggerPresent
21  0x0040d050 NONE FUNC KERNEL32.dll                      QueryPerformanceCounter
22  0x0040d054 NONE FUNC KERNEL32.dll                      GetCurrentProcessId
23  0x0040d058 NONE FUNC KERNEL32.dll                      GetCurrentThreadId
24  0x0040d05c NONE FUNC KERNEL32.dll                      GetSystemTimeAsFileTime
25  0x0040d060 NONE FUNC KERNEL32.dll                      InitializeSListHead
26  0x0040d064 NONE FUNC KERNEL32.dll                      CloseHandle
1   0x0040d06c NONE FUNC MSVCP140.dll                      sym.imp.void __cdecl std::_Xlength_error(char const *)
2   0x0040d070 NONE FUNC MSVCP140.dll                      sym.imp.void __cdecl std::_Xout_of_range(char const *)
1   0x0040d0a8 NONE FUNC WININET.dll                       HttpOpenRequestW
2   0x0040d0ac NONE FUNC WININET.dll                       InternetQueryOptionW
3   0x0040d0b0 NONE FUNC WININET.dll                       InternetReadFile
4   0x0040d0b4 NONE FUNC WININET.dll                       InternetSetOptionW
5   0x0040d0b8 NONE FUNC WININET.dll                       InternetSetCookieA
6   0x0040d0bc NONE FUNC WININET.dll                       InternetQueryDataAvailable
7   0x0040d0c0 NONE FUNC WININET.dll                       InternetOpenW
8   0x0040d0c4 NONE FUNC WININET.dll                       HttpQueryInfoW
9   0x0040d0c8 NONE FUNC WININET.dll                       HttpSendRequestW
10  0x0040d0cc NONE FUNC WININET.dll                       InternetCloseHandle
11  0x0040d0d0 NONE FUNC WININET.dll                       InternetConnectW
1   0x0040d078 NONE FUNC VCRUNTIME140.dll                  __CxxFrameHandler3
2   0x0040d07c NONE FUNC VCRUNTIME140.dll                  __std_exception_destroy
3   0x0040d080 NONE FUNC VCRUNTIME140.dll                  __std_exception_copy
4   0x0040d084 NONE FUNC VCRUNTIME140.dll                  __current_exception
5   0x0040d088 NONE FUNC VCRUNTIME140.dll                  __current_exception_context
6   0x0040d08c NONE FUNC VCRUNTIME140.dll                  _CxxThrowException
7   0x0040d090 NONE FUNC VCRUNTIME140.dll                  memset
8   0x0040d094 NONE FUNC VCRUNTIME140.dll                  _except_handler4_common
9   0x0040d098 NONE FUNC VCRUNTIME140.dll                  memchr
10  0x0040d09c NONE FUNC VCRUNTIME140.dll                  memcpy
11  0x0040d0a0 NONE FUNC VCRUNTIME140.dll                  memmove
1   0x0040d174 NONE FUNC api-ms-win-crt-string-l1-1-0.dll  isspace
2   0x0040d178 NONE FUNC api-ms-win-crt-string-l1-1-0.dll  tolower
1   0x0040d160 NONE FUNC api-ms-win-crt-stdio-l1-1-0.dll   __stdio_common_vsprintf
2   0x0040d164 NONE FUNC api-ms-win-crt-stdio-l1-1-0.dll   __p__commode
3   0x0040d168 NONE FUNC api-ms-win-crt-stdio-l1-1-0.dll   _set_fmode
4   0x0040d16c NONE FUNC api-ms-win-crt-stdio-l1-1-0.dll   __stdio_common_vsscanf
1   0x0040d0e4 NONE FUNC api-ms-win-crt-heap-l1-1-0.dll    _set_new_mode
2   0x0040d0e8 NONE FUNC api-ms-win-crt-heap-l1-1-0.dll    malloc
3   0x0040d0ec NONE FUNC api-ms-win-crt-heap-l1-1-0.dll    _callnewh
4   0x0040d0f0 NONE FUNC api-ms-win-crt-heap-l1-1-0.dll    free
1   0x0040d10c NONE FUNC api-ms-win-crt-runtime-l1-1-0.dll _initterm
2   0x0040d110 NONE FUNC api-ms-win-crt-runtime-l1-1-0.dll _initterm_e
3   0x0040d114 NONE FUNC api-ms-win-crt-runtime-l1-1-0.dll exit
4   0x0040d118 NONE FUNC api-ms-win-crt-runtime-l1-1-0.dll _crt_atexit
5   0x0040d11c NONE FUNC api-ms-win-crt-runtime-l1-1-0.dll __p___argc
6   0x0040d120 NONE FUNC api-ms-win-crt-runtime-l1-1-0.dll __p___argv
7   0x0040d124 NONE FUNC api-ms-win-crt-runtime-l1-1-0.dll _get_initial_narrow_environment
8   0x0040d128 NONE FUNC api-ms-win-crt-runtime-l1-1-0.dll _register_thread_local_exe_atexit_callback
9   0x0040d12c NONE FUNC api-ms-win-crt-runtime-l1-1-0.dll _set_app_type
10  0x0040d130 NONE FUNC api-ms-win-crt-runtime-l1-1-0.dll _seh_filter_exe
11  0x0040d134 NONE FUNC api-ms-win-crt-runtime-l1-1-0.dll _initialize_onexit_table
12  0x0040d138 NONE FUNC api-ms-win-crt-runtime-l1-1-0.dll _controlfp_s
13  0x0040d13c NONE FUNC api-ms-win-crt-runtime-l1-1-0.dll _initialize_narrow_environment
14  0x0040d140 NONE FUNC api-ms-win-crt-runtime-l1-1-0.dll _invalid_parameter_noinfo_noreturn
15  0x0040d144 NONE FUNC api-ms-win-crt-runtime-l1-1-0.dll _cexit
16  0x0040d148 NONE FUNC api-ms-win-crt-runtime-l1-1-0.dll _configure_narrow_argv
17  0x0040d14c NONE FUNC api-ms-win-crt-runtime-l1-1-0.dll terminate
18  0x0040d150 NONE FUNC api-ms-win-crt-runtime-l1-1-0.dll _c_exit
19  0x0040d154 NONE FUNC api-ms-win-crt-runtime-l1-1-0.dll _exit
20  0x0040d158 NONE FUNC api-ms-win-crt-runtime-l1-1-0.dll _register_onexit_function
1   0x0040d0d8 NONE FUNC api-ms-win-crt-convert-l1-1-0.dll wcstombs
2   0x0040d0dc NONE FUNC api-ms-win-crt-convert-l1-1-0.dll atoi
1   0x0040d0f8 NONE FUNC api-ms-win-crt-locale-l1-1-0.dll  setlocale
2   0x0040d0fc NONE FUNC api-ms-win-crt-locale-l1-1-0.dll  _configthreadlocale
1   0x0040d104 NONE FUNC api-ms-win-crt-math-l1-1-0.dll    __setusermatherr


