[Imports]
nth vaddr      bind type lib          name
――――――――――――――――――――――――――――――――――――――――――
1   0x10038000 NONE FUNC KERNEL32.dll Sleep
2   0x10038004 NONE FUNC KERNEL32.dll VirtualProtect
3   0x10038008 NONE FUNC KERNEL32.dll TlsAlloc
4   0x1003800c NONE FUNC KERNEL32.dll CloseHandle
5   0x10038010 NONE FUNC KERNEL32.dll WriteConsoleW
6   0x10038014 NONE FUNC KERNEL32.dll SetFilePointerEx
7   0x10038018 NONE FUNC KERNEL32.dll SetStdHandle
8   0x1003801c NONE FUNC KERNEL32.dll GetConsoleMode
9   0x10038020 NONE FUNC KERNEL32.dll GetConsoleCP
10  0x10038024 NONE FUNC KERNEL32.dll FlushFileBuffers
11  0x10038028 NONE FUNC KERNEL32.dll GetStringTypeW
12  0x1003802c NONE FUNC KERNEL32.dll GetLastError
13  0x10038030 NONE FUNC KERNEL32.dll HeapFree
14  0x10038034 NONE FUNC KERNEL32.dll HeapAlloc
15  0x10038038 NONE FUNC KERNEL32.dll EncodePointer
16  0x1003803c NONE FUNC KERNEL32.dll DecodePointer
17  0x10038040 NONE FUNC KERNEL32.dll HeapReAlloc
18  0x10038044 NONE FUNC KERNEL32.dll GetCommandLineA
19  0x10038048 NONE FUNC KERNEL32.dll GetCurrentThreadId
20  0x1003804c NONE FUNC KERNEL32.dll RaiseException
21  0x10038050 NONE FUNC KERNEL32.dll RtlUnwind
22  0x10038054 NONE FUNC KERNEL32.dll IsDebuggerPresent
23  0x10038058 NONE FUNC KERNEL32.dll IsProcessorFeaturePresent
24  0x1003805c NONE FUNC KERNEL32.dll GetProcessHeap
25  0x10038060 NONE FUNC KERNEL32.dll ExitProcess
26  0x10038064 NONE FUNC KERNEL32.dll GetModuleHandleExW
27  0x10038068 NONE FUNC KERNEL32.dll GetProcAddress
28  0x1003806c NONE FUNC KERNEL32.dll MultiByteToWideChar
29  0x10038070 NONE FUNC KERNEL32.dll WideCharToMultiByte
30  0x10038074 NONE FUNC KERNEL32.dll GetStdHandle
31  0x10038078 NONE FUNC KERNEL32.dll WriteFile
32  0x1003807c NONE FUNC KERNEL32.dll GetModuleFileNameW
33  0x10038080 NONE FUNC KERNEL32.dll HeapSize
34  0x10038084 NONE FUNC KERNEL32.dll SetLastError
35  0x10038088 NONE FUNC KERNEL32.dll GetFileType
36  0x1003808c NONE FUNC KERNEL32.dll DeleteCriticalSection
37  0x10038090 NONE FUNC KERNEL32.dll GetStartupInfoW
38  0x10038094 NONE FUNC KERNEL32.dll GetModuleFileNameA
39  0x10038098 NONE FUNC KERNEL32.dll QueryPerformanceCounter
40  0x1003809c NONE FUNC KERNEL32.dll GetCurrentProcessId
41  0x100380a0 NONE FUNC KERNEL32.dll GetSystemTimeAsFileTime
42  0x100380a4 NONE FUNC KERNEL32.dll GetEnvironmentStringsW
43  0x100380a8 NONE FUNC KERNEL32.dll FreeEnvironmentStringsW
44  0x100380ac NONE FUNC KERNEL32.dll UnhandledExceptionFilter
45  0x100380b0 NONE FUNC KERNEL32.dll SetUnhandledExceptionFilter
46  0x100380b4 NONE FUNC KERNEL32.dll InitializeCriticalSectionAndSpinCount
47  0x100380b8 NONE FUNC KERNEL32.dll GetCurrentProcess
48  0x100380bc NONE FUNC KERNEL32.dll TerminateProcess
49  0x100380c0 NONE FUNC KERNEL32.dll TlsGetValue
50  0x100380c4 NONE FUNC KERNEL32.dll TlsSetValue
51  0x100380c8 NONE FUNC KERNEL32.dll TlsFree
52  0x100380cc NONE FUNC KERNEL32.dll GetModuleHandleW
53  0x100380d0 NONE FUNC KERNEL32.dll EnterCriticalSection
54  0x100380d4 NONE FUNC KERNEL32.dll LeaveCriticalSection
55  0x100380d8 NONE FUNC KERNEL32.dll LoadLibraryExW
56  0x100380dc NONE FUNC KERNEL32.dll IsValidCodePage
57  0x100380e0 NONE FUNC KERNEL32.dll GetACP
58  0x100380e4 NONE FUNC KERNEL32.dll GetOEMCP
59  0x100380e8 NONE FUNC KERNEL32.dll GetCPInfo
60  0x100380ec NONE FUNC KERNEL32.dll OutputDebugStringW
61  0x100380f0 NONE FUNC KERNEL32.dll LCMapStringW
62  0x100380f4 NONE FUNC KERNEL32.dll CreateFileW
1   0x10038114 NONE FUNC ole32.dll    OleInitialize
2   0x10038118 NONE FUNC ole32.dll    OleUninitialize
1   0x100380fc NONE FUNC LZ32.dll     LZStart
2   0x10038100 NONE FUNC LZ32.dll     GetExpandedNameA
3   0x10038104 NONE FUNC LZ32.dll     LZInit
4   0x10038108 NONE FUNC LZ32.dll     LZDone
5   0x1003810c NONE FUNC LZ32.dll     LZSeek


