[Imports]
nth vaddr      bind type lib          name
――――――――――――――――――――――――――――――――――――――――――
1   0x004080d8 NONE FUNC USER32.dll   MessageBoxA
1   0x004080d0 NONE FUNC SHELL32.dll  ShellExecuteExW
1   0x0040806c NONE FUNC MSVCRT.dll   _except_handler3
2   0x00408070 NONE FUNC MSVCRT.dll   __set_app_type
3   0x00408074 NONE FUNC MSVCRT.dll   __p__fmode
4   0x00408078 NONE FUNC MSVCRT.dll   __p__commode
5   0x0040807c NONE FUNC MSVCRT.dll   _adjust_fdiv
6   0x00408080 NONE FUNC MSVCRT.dll   __setusermatherr
7   0x00408084 NONE FUNC MSVCRT.dll   _initterm
8   0x00408088 NONE FUNC MSVCRT.dll   __getmainargs
9   0x0040808c NONE FUNC MSVCRT.dll   _acmdln
10  0x00408090 NONE FUNC MSVCRT.dll   exit
11  0x00408094 NONE FUNC MSVCRT.dll   _XcptFilter
12  0x00408098 NONE FUNC MSVCRT.dll   _exit
13  0x0040809c NONE FUNC MSVCRT.dll   memcpy
14  0x004080a0 NONE FUNC MSVCRT.dll   free
15  0x004080a4 NONE FUNC MSVCRT.dll   malloc
16  0x004080a8 NONE FUNC MSVCRT.dll   wcscmp
17  0x004080ac NONE FUNC MSVCRT.dll   memcmp
18  0x004080b0 NONE FUNC MSVCRT.dll   memmove
19  0x004080b4 NONE FUNC MSVCRT.dll   strlen
20  0x004080b8 NONE FUNC MSVCRT.dll   wcslen
21  0x004080bc NONE FUNC MSVCRT.dll   wcscpy
22  0x004080c0 NONE FUNC MSVCRT.dll   wcscat
23  0x004080c4 NONE FUNC MSVCRT.dll   memset
24  0x004080c8 NONE FUNC MSVCRT.dll   _controlfp
1   0x00408000 NONE FUNC KERNEL32.dll GetStartupInfoA
2   0x00408004 NONE FUNC KERNEL32.dll GetModuleHandleA
3   0x00408008 NONE FUNC KERNEL32.dll SetFilePointer
4   0x0040800c NONE FUNC KERNEL32.dll WriteFile
5   0x00408010 NONE FUNC KERNEL32.dll ReadFile
6   0x00408014 NONE FUNC KERNEL32.dll CreateFileW
7   0x00408018 NONE FUNC KERNEL32.dll DeleteFileW
8   0x0040801c NONE FUNC KERNEL32.dll FindNextFileW
9   0x00408020 NONE FUNC KERNEL32.dll RemoveDirectoryW
10  0x00408024 NONE FUNC KERNEL32.dll FindFirstFileW
11  0x00408028 NONE FUNC KERNEL32.dll FindClose
12  0x0040802c NONE FUNC KERNEL32.dll GetModuleFileNameW
13  0x00408030 NONE FUNC KERNEL32.dll GetCommandLineW
14  0x00408034 NONE FUNC KERNEL32.dll GetTempPathW
15  0x00408038 NONE FUNC KERNEL32.dll GetCurrentThreadId
16  0x0040803c NONE FUNC KERNEL32.dll GetTickCount
17  0x00408040 NONE FUNC KERNEL32.dll GetCurrentProcessId
18  0x00408044 NONE FUNC KERNEL32.dll CreateDirectoryW
19  0x00408048 NONE FUNC KERNEL32.dll GetLastError
20  0x0040804c NONE FUNC KERNEL32.dll SetFileTime
21  0x00408050 NONE FUNC KERNEL32.dll SetFileAttributesW
22  0x00408054 NONE FUNC KERNEL32.dll GetCurrentDirectoryW
23  0x00408058 NONE FUNC KERNEL32.dll SetCurrentDirectoryW
24  0x0040805c NONE FUNC KERNEL32.dll CreateProcessW
25  0x00408060 NONE FUNC KERNEL32.dll CloseHandle
26  0x00408064 NONE FUNC KERNEL32.dll WaitForSingleObject


