[Imports]
nth vaddr      bind type lib          name
――――――――――――――――――――――――――――――――――――――――――
1   0x0026e000 NONE FUNC COMCTL32.DLL ImageList_Destroy
1   0x0026e008 NONE FUNC GDI32.DLL    GetTextMetricsW
1   0x0026e010 NONE FUNC KERNEL32.DLL GetVersionExA
2   0x0026e014 NONE FUNC KERNEL32.DLL GlobalAlloc
1   0x0026e01c NONE FUNC OLE32.DLL    CoInitialize
1   0x0026e024 NONE FUNC OLEAUT32.DLL SysAllocStringLen
1   0x0026e02c NONE FUNC USER32.DLL   GetWindowLongW
1   0x0026e034 NONE FUNC WS2_32.DLL   closesocket
1   0x0026e03c NONE FUNC SHLWAPI.DLL  SHSetValueA
1   0x0026e044 NONE FUNC KERNEL32.DLL GetModuleFileNameW
1   0x0026e04c NONE FUNC KERNEL32.DLL GetModuleHandleA
2   0x0026e050 NONE FUNC KERNEL32.DLL LoadLibraryA
3   0x0026e054 NONE FUNC KERNEL32.DLL LocalAlloc
4   0x0026e058 NONE FUNC KERNEL32.DLL LocalFree
5   0x0026e05c NONE FUNC KERNEL32.DLL GetModuleFileNameA
6   0x0026e060 NONE FUNC KERNEL32.DLL ExitProcess


